Distance (mm),T (C),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (C) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),ONOOJ(35),N2O2(46),X(1),HX(9),OX(10),HOX(13),H2OX(14),N2X2(25),N2X(26),NOX(27),H2NX(28),H3NX(29),O2X2(47),HNX(49),NX(59),NOX2(76),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],ONOOJ(35) ROP [kmol/m^3 s],N2O2(46) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],ONOOJ(35) surface ROP [kmol/m^2 s],N2O2(46) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],HX(9) ROP [kmol/m^2 s],OX(10) ROP [kmol/m^2 s],HOX(13) ROP [kmol/m^2 s],H2OX(14) ROP [kmol/m^2 s],N2X2(25) ROP [kmol/m^2 s],N2X(26) ROP [kmol/m^2 s],NOX(27) ROP [kmol/m^2 s],H2NX(28) ROP [kmol/m^2 s],H3NX(29) ROP [kmol/m^2 s],O2X2(47) ROP [kmol/m^2 s],HNX(49) ROP [kmol/m^2 s],NX(59) ROP [kmol/m^2 s],NOX2(76) ROP [kmol/m^2 s],2 NO(5) <=> N2O2(46) ROP [kmol/m^3 s],NO(5) + O2(2) <=> ONOOJ(35) ROP [kmol/m^3 s],O2(2) + 2 X(1) <=> 2 OX(10) ROP [kmol/m^2 s],NH3(6) + 2 X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],NH3(6) + X(1) <=> H3NX(29) ROP [kmol/m^2 s],H3NX(29) + X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H2NX(28) + X(1) <=> HNX(49) + HX(9) ROP [kmol/m^2 s],H3NX(29) + HNX(49) <=> 2 H2NX(28) ROP [kmol/m^2 s],HX(9) + OX(10) <=> HOX(13) + X(1) ROP [kmol/m^2 s],H2O(3) + 2 X(1) <=> HOX(13) + HX(9) ROP [kmol/m^2 s],H2NX(28) + OX(10) <=> HNX(49) + HOX(13) ROP [kmol/m^2 s],H3NX(29) + OX(10) <=> H2NX(28) + HOX(13) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(14) ROP [kmol/m^2 s],H2OX(14) + OX(10) <=> 2 HOX(13) ROP [kmol/m^2 s],HOX(13) + HX(9) <=> H2OX(14) + X(1) ROP [kmol/m^2 s],H2OX(14) + HNX(49) <=> H2NX(28) + HOX(13) ROP [kmol/m^2 s],HNX(49) + X(1) <=> HX(9) + NX(59) ROP [kmol/m^2 s],HNX(49) + OX(10) <=> HOX(13) + NX(59) ROP [kmol/m^2 s],H3NX(29) + NX(59) <=> H2NX(28) + HNX(49) ROP [kmol/m^2 s],H2NX(28) + NX(59) <=> 2 HNX(49) ROP [kmol/m^2 s],H2OX(14) + NX(59) <=> HNX(49) + HOX(13) ROP [kmol/m^2 s],NOX2(76) <=> NX(59) + OX(10) ROP [kmol/m^2 s],NO(5) + X(1) <=> NOX(27) ROP [kmol/m^2 s],NOX(27) + X(1) <=> NOX2(76) ROP [kmol/m^2 s],N2(4) + 2 X(1) <=> N2X2(25) ROP [kmol/m^2 s],N2X2(25) <=> 2 NX(59) ROP [kmol/m^2 s],NOX2(76) + NX(59) <=> N2X2(25) + OX(10) ROP [kmol/m^2 s],N2(4) + X(1) <=> N2X(26) ROP [kmol/m^2 s],N2X(26) + X(1) <=> N2X2(25) ROP [kmol/m^2 s],N2O2(46) + 2 X(1) <=> 2 NOX(27) ROP [kmol/m^2 s],O2X2(47) <=> 2 OX(10) ROP [kmol/m^2 s],NX(59) + O2X2(47) <=> NOX2(76) + OX(10) ROP [kmol/m^2 s]
0,700,101324.99999999999,2.7155e-08,0.027499999999999997,0.8999999999999999,0.07249999999999997,0.030555555555555555,700.0,1e-11,1e-22,IdealGasReactor,off,0.0725,0.0,0.0,0.9,0.0,0.0,0.0,0.027500000000000004,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03872269687017973,0.0,0.0,0.0,-0.0081508268766201,0.0,0.0,0.0,-0.090955668426264,0.005359447809284449,0.07744539374035946,0.0,0.0,0.0,0.0,0.0,0.005359447809284449,0.00279137906733565,0.0,0.0,0.0,0.0,0.0,0.0,0.03872269687017973,0.005359447809284449,0.00279137906733565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,700,101325.00000000001,2.7155e-08,0.027499999999999997,0.8999999999999999,0.07249999999999997,0.030555555555555555,700.0,1e-11,1e-22,IdealGasReactor,off,0.07249985856701864,4.984727942666939e-35,-1.6557614962390883e-26,0.8999923891813967,1.1704798456297553e-05,3.898899878783144e-06,5.399213332831682e-09,0.02749214315403621,0.0,1.356425122666472e-18,2.708121970270004e-24,0.006567028953677904,3.9867557772805086e-10,0.957164889498879,6.79032765859363e-08,7.217515949891302e-10,9.035448420374275e-10,6.732491183681717e-07,0.03619604533058193,2.131268503156229e-06,2.3223741717630128e-06,3.679480140055929e-13,1.2572800034736792e-07,1.8282597739283128e-05,4.843107171169535e-05,0.0,0.0,0.0,-5.526133259466334e-15,0.0,0.0,-5.526091529858792e-15,0.0,0.0,5.526133259466334e-15,-2.086480377103757e-20,0.0,0.0,0.0,-1.669774045691362e-06,3.3380083280847564e-06,1.1118995610082474e-06,1.5397632980659253e-09,-2.2253388853884426e-06,0.0,0.0,2.2626546277604816e-24,3.0537620171331885e-15,-4.215948283142095e-21,-3.2130759133246287e-15,-3.8545720910682315e-20,-2.860369094525873e-19,-1.2281977735187355e-20,1.334076891925523e-19,3.1274075579386762e-15,-4.547387589448171e-21,-1.187055464211573e-18,-6.91178794282709e-23,4.235164736271502e-22,-3.1384716481345932e-15,8.589458535437788e-17,-2.086480377103757e-20,5.526133259466334e-15,1.669774045691362e-06,2.2863106545277064e-07,1.996707819935672e-06,2.0724708500865035e-11,6.024637853983163e-12,-2.225326956663826e-06,2.2860150605999278e-07,-5.643839401664625e-11,4.5685017856688136e-12,4.2281534179948355e-06,-3.3379518896907396e-06,-3.337950550393738e-06,2.1859465932457006e-17,-1.3354989081192e-12,1.29676739175656e-13,2.2191993859215554e-06,-6.139366102651247e-09,8.726025969442674e-17,-3.77594828407557e-15,-1.1223112883484987e-08,-1.5397632980659253e-09,-1.5397664254734877e-09,-7.313767496562547e-08,-1.1022162146362517e-06,9.683346372116915e-09,-1.038761886042622e-06,-1.0387618860427554e-06,-2.2626546277604816e-24,6.782881022934827e-23,1.2890691989226341e-24
9.0,700,101324.99999999996,2.7155e-08,0.027499999999999997,0.8999999999999999,0.07249999999999997,0.030555555555555555,700.0,1e-11,1e-22,IdealGasReactor,off,0.07249971721833447,3.791451033744272e-35,7.550222319007987e-26,0.8999847829010211,2.3402620594505714e-05,7.795477939101528e-06,1.0791184907561736e-08,0.02748429099092594,6.016935879615333e-28,2.711008325892046e-18,1.0817963552520468e-23,0.006565110938932822,3.984349178819625e-10,0.9571668903141339,6.788411194751073e-08,7.673628700502646e-10,9.041383529652012e-10,6.741704161639569e-07,0.03619598327072874,2.1306373909063052e-06,2.3210278919895936e-06,3.6794955752630693e-13,1.256533914836001e-07,1.827718844619982e-05,4.841684425234753e-05,0.0,0.0,0.0,-5.522187439199611e-15,0.0,0.0,-5.51709429626222e-15,0.0,0.0,5.522187439199611e-15,-2.546571468695552e-18,0.0,0.0,0.0,-1.6687847587738849e-06,3.336031813473704e-06,1.1112417523410922e-06,1.537704072414354e-09,-2.2240212089812352e-06,0.0,0.0,2.2626348403788695e-24,-7.497317045820506e-15,9.515748663724557e-20,1.6333602713766585e-14,-3.7212345878916195e-19,6.9786981983973e-19,9.317362419797304e-21,2.5792153243893445e-19,-7.269192225790441e-15,3.582700243531082e-20,-1.6298344927632455e-18,-1.6672430145534472e-22,-5.929230630780102e-21,1.6559977960289094e-14,-9.063084892580629e-15,-2.546571468695552e-18,5.522187439199611e-15,1.6687847587738849e-06,2.2843235040214572e-07,1.9955888585790894e-06,2.0706652355212072e-11,6.021094927710604e-12,-2.224009285915391e-06,2.2840282070296013e-07,-5.6386986473181855e-11,4.5671586356583035e-12,4.225711341888295e-06,-3.335975426487231e-06,-3.3359740879667814e-06,2.1839554775900913e-17,-1.3347266654418951e-12,1.295619394081322e-13,2.2178871716909207e-06,-6.133904044540227e-09,8.720861348706255e-17,-3.772642590637866e-15,-1.1215325557145661e-08,-1.537704072414354e-09,-1.5376968032221328e-09,-7.307952570474e-08,-1.1015641145243511e-06,9.677637817008423e-09,-1.0381622266363522e-06,-1.0381622266366101e-06,-2.2626348403788695e-24,1.6543612251060553e-22,1.288178944739189e-24
18.0,700,101325.00000000001,2.7155e-08,0.027499999999999997,0.8999999999999999,0.07249999999999997,0.030555555555555555,700.0,1e-11,1e-22,IdealGasReactor,off,0.07249957595387006,4.65772287053722e-28,7.550207604359665e-26,0.8999771811547019,3.509347282097395e-05,1.1689736309373827e-05,1.6175928665944194e-08,0.027476443506368922,6.016924155718232e-28,4.063752864818632e-18,2.4307802074567408e-23,0.0065631940933430786,3.981944845869992e-10,0.957168889924025,6.786495914709713e-08,8.129202273305447e-10,9.047303627948948e-10,6.750905153903611e-07,0.03619592123463034,2.130006667900236e-06,2.31968281651583e-06,3.6795110012034417e-13,1.2557885084922025e-07,1.82717824839461e-05,4.8402625494802365e-05,0.0,0.0,0.0,-5.511420062253233e-15,0.0,0.0,-5.511995409382655e-15,0.0,0.0,5.511420062253233e-15,2.8767356471124175e-19,0.0,0.0,0.0,-1.6677963757238496e-06,3.334057102643843e-06,1.11058454315703e-06,1.5356488054724966e-09,-2.2227047350917432e-06,0.0,0.0,2.2626070508629597e-24,2.2070952670669502e-16,7.126712794545777e-21,2.610590271788591e-15,-1.0194975624834786e-19,-1.303883713794176e-18,-4.235164736271502e-22,-6.988021814847978e-20,1.9138071045893663e-16,3.356930656484553e-20,-3.2744126527646362e-18,9.135694043307332e-23,1.6940658945086007e-21,2.5863911992883765e-15,-2.8021813969362313e-15,2.8767356471124175e-19,5.511420062253233e-15,1.6677963757238496e-06,2.2823387058579982e-07,1.9944708645059433e-06,2.068861763430748e-11,6.017555214861215e-12,-2.222692817681181e-06,2.2820437054155704e-07,-5.633564254309946e-11,4.56581630845746e-12,4.223271442171084e-06,-3.3340007670013e-06,-3.333999429253713e-06,2.1819668258307494e-17,-1.3339551223862687e-12,1.2944727797140294e-13,2.216576153367201e-06,-6.128448598319407e-09,8.715701437898111e-17,-3.769340867260435e-15,-1.1207580641325876e-08,-1.5356488054724966e-09,-1.5356489968532117e-09,-7.302144211617207e-08,-1.1009126087103054e-06,9.671934446654063e-09,-1.0375631010408578e-06,-1.037563101040788e-06,-2.2626070508629597e-24,-9.26442286059391e-23,1.2872881728657747e-24
26.999999999999996,700,101324.99999999999,2.7155e-08,0.027499999999999997,0.8999999999999999,0.07249999999999997,0.030555555555555555,700.0,1e-11,1e-22,IdealGasReactor,off,0.07249943477354812,4.6577136903460435e-28,7.55019290164277e-26,0.8999695839382736,4.677736153405531e-05,1.558167711537254e-05,2.1553458518643265e-08,0.02746860069607028,6.016912438806981e-28,5.414662299954926e-18,4.315599969413065e-23,0.006561278415850952,3.97954277555382e-10,0.9571708883354413,6.784581817382323e-08,8.584237401081081e-10,9.053208742084181e-10,6.760094175090322e-07,0.03619585921647938,2.1293763337807457e-06,2.3183389438875756e-06,3.6795264179302726e-13,1.2550437836006696e-07,1.8266379846444708e-05,4.83884154234218e-05,0.0,0.0,0.0,-5.503725376732358e-15,0.0,0.0,-5.503814368131379e-15,0.0,0.0,5.503725376732358e-15,4.4495699510452465e-20,0.0,0.0,0.0,-1.6668088954387015e-06,3.332084193388903e-06,1.109927932357472e-06,1.5335974881772123e-09,-2.2213894622592752e-06,0.0,0.0,2.262571304742543e-24,-1.28923254016629e-16,-2.2230359939892056e-22,-2.0903206127283712e-16,-2.2066555103648543e-21,2.5715229183917894e-21,-6.352747104407253e-22,4.870439446712227e-21,-7.245121005680943e-17,1.1265387376673555e-21,5.594222482696126e-21,6.985403720201549e-24,-1.2705494208814505e-21,-1.5321373449878768e-16,2.818053965532803e-16,4.4495699510452465e-20,5.503725376732358e-15,1.6668088954387015e-06,2.2803562565263116e-07,1.9933538366066442e-06,2.067060430607789e-11,6.014018711541336e-12,-2.2213775504943705e-06,2.280061552244766e-07,-5.6284362127243025e-11,4.564474803343919e-12,4.220833716250621e-06,-3.3320279090267755e-06,-3.332026572054657e-06,2.1799806341270895e-17,-1.3331842781020398e-12,1.293327546552367e-13,2.2152663294936596e-06,-6.122999753918205e-09,8.710546229835018e-17,-3.766043107910114e-15,-1.1199833949149252e-08,-1.5335974881772123e-09,-1.5335974157260068e-09,-7.296342408087701e-08,-1.1002616961058584e-06,9.66623625161785e-09,-1.036964508276595e-06,-1.0369645082765999e-06,-2.262571304742543e-24,-8.271806125530277e-24,1.286402405328728e-24
36.0,700,101324.99999999999,2.7155e-08,0.027499999999999997,0.8999999999999999,0.07249999999999997,0.030555555555555555,700.0,1e-11,1e-22,IdealGasReactor,off,0.0724992936772914,4.657704626597747e-28,7.548473602384083e-26,0.8999619912475753,5.845429312408797e-05,1.9471302480496116e-05,2.6923788345496225e-08,0.027460762555740467,6.016900728869857e-28,6.763740184590103e-18,6.734100304908108e-23,0.006559363905342499,3.977142964966232e-10,0.9571728855469962,6.782668901629366e-08,9.038734815312247e-10,9.059098902906791e-10,6.76927124288367e-07,0.0361957972187825,2.128746388174246e-06,2.3169962726367613e-06,3.6795418254326357e-13,1.2542997393122555e-07,1.826098053182044e-05,4.8374214033277885e-05,0.0,0.0,0.0,-5.4962849069747785e-15,0.0,0.0,-5.496417467631024e-15,0.0,0.0,5.4962849069747785e-15,6.6280328122649e-20,0.0,0.0,0.0,-1.6658223167883163e-06,3.330113083462457e-06,1.1092719193565774e-06,1.5315501118417774e-09,-2.220075388974232e-06,0.0,0.0,2.2625276483605016e-24,4.6196415717638756e-15,-3.9439026730907095e-20,4.749878706230681e-15,2.299262392189713e-19,1.6614849670144126e-18,2.964615315390051e-20,9.677351422380381e-20,4.771074670725978e-15,1.8214611425432471e-19,-2.03126524403523e-18,1.5257008064973031e-22,-1.2705494208814505e-21,4.9002699374344826e-15,-9.520510910809174e-15,6.6280328122649e-20,5.4962849069747785e-15,1.6658223167883163e-06,2.278376152481657e-07,1.9922377737260663e-06,2.0652612338182425e-11,6.010485413763046e-12,-2.2200634828553627e-06,2.2780817439742063e-07,-5.623314512574833e-11,4.563134119520704e-12,4.218398161472279e-06,-3.3300568503173312e-06,-3.330055514120332e-06,2.1779968986111017e-17,-1.3324141317191604e-12,1.2921836924773137e-13,2.2139576985808613e-06,-6.117557501157005e-09,8.705395719276904e-17,-3.762749306508434e-15,-1.1192088589240257e-08,-1.5315501118417774e-09,-1.5315548829164527e-09,-7.290547151315616e-08,-1.099611376129869e-06,9.660543226834716e-09,-1.0363664478434213e-06,-1.036366447843518e-06,-2.2625276483605016e-24,-1.5385559393486315e-22,1.285513285132834e-24
45.0,700,101324.99999999999,2.7155e-08,0.027499999999999997,0.8999999999999999,0.07249999999999997,0.030555555555555555,700.0,1e-11,1e-22,IdealGasReactor,off,0.0724991526650228,4.657695628469938e-28,2.794348239412684e-26,0.8999544030784514,7.012427397348105e-05,2.335861452513476e-05,3.228693199514821e-08,0.027452929081095315,6.016889025903131e-28,8.110990063842465e-18,9.684134292023063e-23,0.006557450560702199,3.9747454112026366e-10,0.957174881557281,6.78075716630844e-08,9.492695246273864e-10,9.064974141198976e-10,6.778436374939141e-07,0.036195735244071256,2.1281168307062813e-06,2.315654801294296e-06,3.6795572236998675e-13,1.2535563747776113e-07,1.8255584538204753e-05,4.8360021319458424e-05,0.0,0.0,0.0,-5.4887065561352535e-15,0.0,0.0,-5.489202493925871e-15,0.0,0.0,5.4887065561352535e-15,2.4796889530869642e-19,0.0,0.0,0.0,-1.6648366386428583e-06,3.3281437706189487e-06,1.1086165035697623e-06,1.5295066678029302e-09,-2.2187625137441063e-06,0.0,0.0,2.2624761278376848e-24,9.13284280832869e-15,-8.040080876904427e-20,-1.4057291029996588e-14,1.933849401735382e-19,-8.168709143501893e-19,-3.451659260061274e-20,2.1811098391798234e-20,9.068484188918001e-15,1.451600393231223e-19,-1.4448471292943366e-18,8.641535025919404e-24,-1.1011428314305904e-20,-1.4118763984207057e-14,4.988395061263876e-15,2.4796889530869642e-19,5.4887065561352535e-15,1.6648366386428583e-06,2.2763983901837658e-07,1.9911226747257295e-06,2.063464169830112e-11,6.0069553175382176e-12,-2.2187506132641482e-06,2.2761042770639538e-07,-5.6181991438843826e-11,4.5617942561889315e-12,4.215964775179489e-06,-3.3280875886275098e-06,-3.328086253200791e-06,2.1760156154183658e-17,-1.3316446823672757e-12,1.2910412153716392e-13,2.2126502591389758e-06,-6.112121829863844e-09,8.700249900988045e-17,-3.7594594569812785e-15,-1.118437609193279e-08,-1.5295066678029302e-09,-1.5295157362871237e-09,-7.284758432746134e-08,-1.0989616482024993e-06,9.654855367250607e-09,-1.035768919242301e-06,-1.035768919242323e-06,-2.2624761278376848e-24,-9.926167350636332e-24,1.2846323247169284e-24
53.99999999999999,700,101324.99999999999,2.7155e-08,0.027499999999999997,0.8999999999999999,0.07249999999999997,0.030555555555555555,700.0,1e-11,1e-22,IdealGasReactor,off,0.0724990117366653,1.688030852918574e-26,2.794342807542269e-26,0.8999468194267515,8.178731045665697e-05,2.72436153672889e-05,3.764290328555901e-08,0.027445100267855977,6.0168773299003954e-28,9.456415474879869e-18,1.3163563389325142e-22,0.006555538380865425,3.9723501113934226e-10,0.9571768763716382,6.778846610326914e-08,9.94611942313467e-10,9.070834484359114e-10,6.78758958637004e-07,0.03619567328808624,2.1274876610180524e-06,2.314314528410262e-06,3.679572612772865e-13,1.2528136891576597e-07,1.825019186031495e-05,4.834583726835135e-05,0.0,0.0,0.0,-5.4813900443555485e-15,0.0,0.0,-5.4813184700715055e-15,0.0,0.0,5.4813900443555485e-15,-3.578714202149419e-20,0.0,0.0,0.0,-1.6638518598994046e-06,3.3261762526518747e-06,1.107961683997748e-06,1.5274671471301964e-09,-2.2174508351011772e-06,0.0,0.0,2.2624167882218454e-24,-6.375068617062006e-17,1.3568236146012615e-22,-2.4641882501522105e-17,-8.631891002597107e-22,-1.0615298251408769e-21,-2.117582368135751e-22,-4.235164736271502e-21,-1.0539041803293968e-16,-3.4310518674749044e-22,-7.13468093745363e-20,3.706146679261737e-25,8.470329472543003e-22,-6.581667812944734e-17,1.2983856035934115e-16,-3.578714202149419e-20,5.4813900443555485e-15,1.6638518598994046e-06,2.2744229661332191e-07,1.9900085384878553e-06,2.0616692354479736e-11,6.0034284189731615e-12,-2.2174389402547375e-06,2.274129148013984e-07,-5.613090096777643e-11,4.560455212615466e-12,4.213533554780312e-06,-3.326120121750907e-06,-3.3261187870970626e-06,2.1740367807239048e-17,-1.3308759291963906e-12,1.2899001131410694e-13,2.2113440097120123e-06,-6.106692730002402e-09,8.695108768174695e-17,-3.756173553319442e-15,-1.1176639835852598e-08,-1.5274671471301964e-09,-1.5274670417397829e-09,-7.278976241147696e-08,-1.0983125113334691e-06,9.649172664274256e-09,-1.0351719215862708e-06,-1.0351719215862666e-06,-2.2624167882218454e-24,-1.6543612251060553e-24,1.2837465571798817e-24
63.0,700,101324.99999999999,2.7155e-08,0.027499999999999997,0.8999999999999999,0.07249999999999997,0.030555555555555555,700.0,1e-11,1e-22,IdealGasReactor,off,0.07249887089214195,1.6880276071823602e-26,2.794337378460953e-26,0.8999392402883309,9.344340894011252e-05,3.112630712214694e-05,4.299171600378341e-08,0.02743727611174896,-3.996576703499955e-26,1.0800019946949425e-17,1.717025740250211e-22,0.0065536273647450885,3.9699570626592085e-10,0.9571788699920528,6.776937232568512e-08,1.0399008073843531e-09,9.07667996137845e-10,6.796730893512381e-07,0.03619561134994323,2.126858878743354e-06,2.3129754525280484e-06,3.679587992666727e-13,1.2520716816098625e-07,1.8244802494578046e-05,4.833166187069735e-05,0.0,0.0,0.0,-5.4740496038950835e-15,0.0,0.0,-5.436813188500837e-15,0.0,0.0,5.4740496038950835e-15,-1.861820769712315e-17,0.0,0.0,0.0,-1.6628679794446531e-06,3.3242105273472505e-06,1.10730745984925e-06,1.525431541059074e-09,-2.216140351574786e-06,0.0,0.0,2.2623496747596727e-24,2.4026001714446946e-15,-1.4418658109091131e-19,-5.93035062009461e-14,4.887151491386592e-19,-2.1536424888746753e-18,1.7893571010747095e-19,8.455506395966053e-19,2.7378337668022354e-15,5.051984173410383e-20,1.1251266851373817e-17,4.768275311212916e-22,-3.3034284942917713e-20,-5.898425692180327e-14,5.656833313544398e-14,-1.861820769712315e-17,5.4740496038950835e-15,1.6628679794446531e-06,2.2724498768204236e-07,1.988895363892744e-06,2.0598764274667722e-11,5.999904714136185e-12,-2.216128462347012e-06,2.2721563533187957e-07,-5.607987361356863e-11,4.559116988035224e-12,4.2111044976557245e-06,-3.324154447473637e-06,-3.324153113589e-06,2.17206039069405e-17,-1.3301078713479845e-12,1.2887603836855553e-13,2.2100389488299935e-06,-6.101270191494355e-09,8.68997231483354e-17,-3.7528915894966174e-15,-1.1168985958320832e-08,-1.525431541059074e-09,-1.5254342788928454e-09,-7.273200566648317e-08,-1.0976639647391796e-06,9.643495111094853e-09,-1.034575454182767e-06,-1.0345754541836125e-06,-2.2623496747596727e-24,-4.7811039405565e-22,1.282862934358421e-24
72.0,700,101324.99999999996,2.7155e-08,0.027499999999999997,0.8999999999999999,0.07249999999999997,0.030555555555555555,700.0,1e-11,1e-22,IdealGasReactor,off,0.07249873013137594,1.688024329804028e-26,2.7943319532909614e-26,0.8999316656590495,0.00010509257578240816,3.5006691902294414e-05,4.833338390619216e-08,0.027429456608506066,1.1418624159566343e-28,1.2141807001379512e-17,2.170209444794493e-22,0.006551717511193807,3.9675662620923894e-10,0.9571808624116174,6.775029031866592e-08,1.0851361924991182e-09,9.082510605568635e-10,6.80586031599704e-07,0.03619554943769364,2.1262304835000605e-06,2.3116375721792097e-06,3.6796033633288387e-13,1.2513303512853337e-07,1.8239416441919644e-05,4.8317495128716e-05,0.0,0.0,0.0,-5.466666467680121e-15,0.0,0.0,-5.467186334151498e-15,0.0,0.0,5.466666467680121e-15,2.599332356886634e-19,0.0,0.0,0.0,-1.6618849961357446e-06,3.322246592430485e-06,1.1066538308834595e-06,1.5233998412279155e-09,-2.2148310616196426e-06,0.0,0.0,2.2622748335930834e-24,-1.0564983937040065e-15,-3.832318355113272e-22,-1.842304707091102e-15,6.709342799462037e-22,-2.726525673547369e-19,-1.4823076576950256e-21,1.2705494208814505e-21,-1.0452284224128827e-15,-2.006960008645681e-21,-4.988618740827678e-19,-1.286251008129874e-23,4.235164736271502e-21,-1.8303601938580382e-15,2.88758164923038e-15,2.599332356886634e-19,5.466666467680121e-15,1.6618849961357446e-06,2.2704791186993498e-07,1.9877831497497076e-06,2.0580857426553934e-11,5.99638419899899e-12,-2.214819178029007e-06,2.27018588942786e-07,-5.602890927653758e-11,4.5577795816065794e-12,4.208677601125944e-06,-3.3221905635212085e-06,-3.3221892304091134e-06,2.1700864414678254e-17,-1.329340507944457e-12,1.287622024888819e-13,2.2087350749910147e-06,-6.0958542041572455e-09,8.684840537043743e-17,-3.749613559445985e-15,-1.1161224389155677e-08,-1.5233998412279155e-09,-1.5233987959994977e-09,-7.26743140294734e-08,-1.0970160081778848e-06,9.637822705574532e-09,-1.0339795168539862e-06,-1.0339795168539875e-06,-2.2622748335930834e-24,1.1580528575742387e-23,1.281981505556353e-24
