Distance (mm),T (C),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (C) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),ONOOJ(35),N2O2(46),X(1),HX(9),OX(10),HOX(13),H2OX(14),N2X2(25),N2X(26),NOX(27),H2NX(28),H3NX(29),O2X2(47),HNX(49),NX(59),NOX2(76),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],ONOOJ(35) ROP [kmol/m^3 s],N2O2(46) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],ONOOJ(35) surface ROP [kmol/m^2 s],N2O2(46) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],HX(9) ROP [kmol/m^2 s],OX(10) ROP [kmol/m^2 s],HOX(13) ROP [kmol/m^2 s],H2OX(14) ROP [kmol/m^2 s],N2X2(25) ROP [kmol/m^2 s],N2X(26) ROP [kmol/m^2 s],NOX(27) ROP [kmol/m^2 s],H2NX(28) ROP [kmol/m^2 s],H3NX(29) ROP [kmol/m^2 s],O2X2(47) ROP [kmol/m^2 s],HNX(49) ROP [kmol/m^2 s],NX(59) ROP [kmol/m^2 s],NOX2(76) ROP [kmol/m^2 s],2 NO(5) <=> N2O2(46) ROP [kmol/m^3 s],NO(5) + O2(2) <=> ONOOJ(35) ROP [kmol/m^3 s],O2(2) + 2 X(1) <=> 2 OX(10) ROP [kmol/m^2 s],NH3(6) + 2 X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],NH3(6) + X(1) <=> H3NX(29) ROP [kmol/m^2 s],H3NX(29) + X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H2NX(28) + X(1) <=> HNX(49) + HX(9) ROP [kmol/m^2 s],H3NX(29) + HNX(49) <=> 2 H2NX(28) ROP [kmol/m^2 s],HX(9) + OX(10) <=> HOX(13) + X(1) ROP [kmol/m^2 s],H2O(3) + 2 X(1) <=> HOX(13) + HX(9) ROP [kmol/m^2 s],H2NX(28) + OX(10) <=> HNX(49) + HOX(13) ROP [kmol/m^2 s],H3NX(29) + OX(10) <=> H2NX(28) + HOX(13) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(14) ROP [kmol/m^2 s],H2OX(14) + OX(10) <=> 2 HOX(13) ROP [kmol/m^2 s],HOX(13) + HX(9) <=> H2OX(14) + X(1) ROP [kmol/m^2 s],H2OX(14) + HNX(49) <=> H2NX(28) + HOX(13) ROP [kmol/m^2 s],HNX(49) + X(1) <=> HX(9) + NX(59) ROP [kmol/m^2 s],HNX(49) + OX(10) <=> HOX(13) + NX(59) ROP [kmol/m^2 s],H3NX(29) + NX(59) <=> H2NX(28) + HNX(49) ROP [kmol/m^2 s],H2NX(28) + NX(59) <=> 2 HNX(49) ROP [kmol/m^2 s],H2OX(14) + NX(59) <=> HNX(49) + HOX(13) ROP [kmol/m^2 s],NOX2(76) <=> NX(59) + OX(10) ROP [kmol/m^2 s],NO(5) + X(1) <=> NOX(27) ROP [kmol/m^2 s],NOX(27) + X(1) <=> NOX2(76) ROP [kmol/m^2 s],N2(4) + 2 X(1) <=> N2X2(25) ROP [kmol/m^2 s],N2X2(25) <=> 2 NX(59) ROP [kmol/m^2 s],NOX2(76) + NX(59) <=> N2X2(25) + OX(10) ROP [kmol/m^2 s],N2(4) + X(1) <=> N2X(26) ROP [kmol/m^2 s],N2X(26) + X(1) <=> N2X2(25) ROP [kmol/m^2 s],N2O2(46) + 2 X(1) <=> 2 NOX(27) ROP [kmol/m^2 s],O2X2(47) <=> 2 OX(10) ROP [kmol/m^2 s],NX(59) + O2X2(47) <=> NOX2(76) + OX(10) ROP [kmol/m^2 s]
0,400,101325.0,2.7155e-08,0.01,0.6,0.39000000000000007,0.016666666666666666,400.0,1e-11,1e-22,IdealGasReactor,off,0.39000000000000007,0.0,0.0,0.6,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0597628651738036,0.0,0.0,0.0,-0.003920920162741478,0.0,0.0,0.0,-0.12602478979543896,0.002578139285090287,0.1195257303476072,0.0,0.0,0.0,0.0,0.0,0.002578139285090287,0.0013427808776511913,0.0,0.0,0.0,0.0,0.0,0.0,0.0597628651738036,0.002578139285090287,0.0013427808776511913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,400,101325.00000000001,2.7155e-08,0.01,0.6,0.39000000000000007,0.016666666666666666,400.0,1e-11,1e-22,IdealGasReactor,off,0.38999980984561644,0.0,0.0,0.5999982447287672,2.9254520547731845e-06,9.751506849222476e-07,3.1935601308134424e-19,0.009998044822876728,0.0,8.616274344389577e-32,1.562598754579246e-44,0.0026420153200693765,2.7565463342320705e-11,0.8273125978131846,1.196454995367726e-09,1.8398504376555798e-09,1.1278326796127358e-05,3.5176514147415167e-06,0.16849307582658501,1.6813764297012535e-06,0.0015029371557180474,1.201449824018091e-22,1.2381556566220532e-05,1.4379991838382716e-05,6.131917526763985e-06,0.0,0.0,0.0,-3.510299493236832e-28,0.0,0.0,-3.5102994932352894e-28,0.0,0.0,3.510299493236832e-28,-7.712746747643793e-41,0.0,0.0,0.0,-4.1714369226192274e-07,8.342873845237163e-07,2.780957948461635e-07,9.107470842118856e-20,-5.561915896825408e-07,0.0,0.0,9.85676302790004e-45,1.1381424217067404e-16,-1.640619351220393e-22,4.531781910114565e-16,1.911631000909578e-20,7.402352150105454e-20,2.1175823681357508e-20,-1.7311235859509763e-20,1.0399233385018723e-16,-4.6268864596824455e-21,1.087907941629742e-20,-2.3496345358052765e-31,-6.352747104407253e-22,4.433426158215396e-16,-5.57225550463013e-16,-7.712746747643793e-41,3.510299493236832e-28,4.1714369226192274e-07,1.7968550399393792e-08,5.38223039283147e-07,3.4019330655437784e-14,1.3346242178784114e-18,-5.56191589678434e-07,1.796848627339904e-08,-9.814793962914129e-14,4.606149560093176e-20,1.1031572044675445e-06,-8.342872863757767e-07,-8.342872863730878e-07,5.243257511857984e-24,-2.7199001233216543e-18,1.2794389658114391e-18,5.474489801559077e-07,-8.74260952530503e-09,7.897153786583013e-25,-4.302948923817665e-20,-1.0869083411080283e-12,-9.107470842118856e-20,-1.0408340855860843e-16,-5.994664164192361e-09,-2.780947074846841e-07,1.0873614832499327e-12,-2.7210113068197114e-07,-2.7210113068195383e-07,-9.85676302790004e-45,2.3496345321524277e-31,3.65284878486336e-40
9.0,400,101324.99999999999,2.7155e-08,0.01,0.6,0.39000000000000007,0.016666666666666666,400.0,1e-11,1e-22,IdealGasReactor,off,0.38999961976564884,0.0,0.0,0.599996490144451,5.849759248452381e-06,1.94991974948182e-06,6.384844675483467e-19,0.009996090410902285,0.0,1.722635956899453e-31,6.245942063623529e-44,0.002641503457794459,2.7551951155963166e-11,0.8273137170988063,1.1962217571715113e-09,1.9035284067545313e-09,1.1282583120078218e-05,3.5197745554784557e-06,0.16849305741796264,1.6810481940634406e-06,0.0015023508338297426,1.2014530712593968e-22,1.2376744743970056e-05,1.4377184846497256e-05,6.130728844561565e-06,0.0,0.0,0.0,-3.5077814451588395e-28,0.0,0.0,-3.50778144515993e-28,0.0,0.0,3.5077814451588395e-28,5.452732584380728e-41,0.0,0.0,0.0,-4.1698085169593956e-07,8.33961703391782e-07,2.7798723446421084e-07,9.100990145813147e-20,-5.559744689278639e-07,0.0,0.0,9.85674585587404e-45,-1.312912367531333e-16,1.8666623774856617e-22,-4.416179912264482e-16,1.7772458751831393e-21,4.115878895137647e-21,4.923379005915621e-21,-3.917527381051139e-21,-1.3192999407569548e-16,-6.826301570415505e-22,6.407341024835752e-21,-4.62223222806437e-33,-4.235164736271502e-22,-4.4227427915051356e-16,5.735482286677381e-16,5.452732584380728e-41,3.5077814451588395e-28,4.1698085169593956e-07,1.7958079805339884e-08,5.38016389122524e-07,3.399947589606526e-14,1.334105147837881e-18,-5.559744689237592e-07,1.795801572674842e-08,-9.808067996801096e-14,4.605256557274296e-20,1.1027283299229385e-06,-8.339616053111021e-07,-8.339616053083444e-07,5.239664363736253e-24,-2.7188390153718017e-18,1.2786939518800508e-18,5.472369630503993e-07,-8.737505876137702e-09,7.894113010514257e-25,-4.3004381546524255e-20,-1.087380185893494e-12,-9.100990145813147e-20,1.3183898417423734e-16,-5.9912342393154295e-09,-2.779861475257352e-07,1.0869384766490004e-12,-2.719960002248954e-07,-2.719960002248915e-07,-9.85674585587404e-45,4.622231866529366e-33,3.615350037958028e-40
18.0,400,101324.99999999997,2.7155e-08,0.01,0.6,0.39000000000000007,0.016666666666666666,400.0,1e-11,1e-22,IdealGasReactor,off,0.38999942976005364,0.0,0.0,0.5999947362466483,8.772922252841427e-06,2.924307417620728e-06,9.573856137588676e-19,0.009994136763627688,0.0,2.5830261689211136e-31,1.4043361410046087e-43,0.0026409917937673896,2.7538448487027668e-11,0.8273148358652798,1.195988609992229e-09,1.9671566576042373e-09,1.1286831912610568e-05,3.52189577213475e-06,0.16849303899211615,1.680720086528574e-06,0.0015017648550829249,1.201456317005635e-22,1.237193572693732e-05,1.4374378949388924e-05,6.129540622160967e-06,0.0,0.0,0.0,-3.505265819539605e-28,0.0,0.0,-3.505265819543049e-28,0.0,0.0,3.505265819539605e-28,1.7219155529623352e-40,0.0,0.0,0.0,-4.1681810645222137e-07,8.336362129046233e-07,2.7787873760776585e-07,9.094516574259556e-20,-5.557574752693014e-07,0.0,0.0,9.856718750326149e-45,-1.7839646610306395e-16,2.6607916648996547e-22,5.1759218791394904e-17,-5.397442431543946e-21,-4.695082016157402e-19,3.525774642946025e-20,2.117582368135751e-21,-1.2499103543607272e-16,-5.6904286318962055e-21,-1.2845122296213456e-19,4.148453096669081e-31,-1.164670302474663e-21,1.052951129093021e-16,7.343537329681845e-17,1.7219155529623352e-40,3.505265819539605e-28,4.1681810645222137e-07,1.79476173458256e-08,5.378098579234758e-07,3.397963658638376e-14,1.3335863805286826e-18,-5.557574752653382e-07,1.7947553314593026e-08,-9.801348042833648e-14,4.6043639001493977e-20,1.102299705408456e-06,-8.336361148911428e-07,-8.336361148879125e-07,5.236074427427626e-24,-2.717778528465415e-18,1.2779495163312493e-18,5.470250690689658e-07,-8.73240619915007e-09,7.891073981497036e-25,-4.2979293391526096e-20,-1.0864642518981782e-12,-9.094516574259556e-20,1.249000902703301e-16,-5.987806947707593e-09,-2.778776510920866e-07,1.0865157166151517e-12,-2.718909306600583e-07,-2.718909306600604e-07,-9.856718750326149e-45,-4.148453100210106e-31,3.5410251674102397e-40
26.999999999999996,400,101324.99999999999,2.7155e-08,0.01,0.6,0.39000000000000007,0.016666666666666666,400.0,1e-11,1e-22,IdealGasReactor,off,0.389999239828787,0.0,0.0,0.5999929830349565,1.1694941739222339e-05,3.898313913099447e-06,1.2760597017457312e-18,0.009992183880604289,0.0,3.4427987534197303e-31,2.4948202803365435e-43,0.002640480327875813,2.7524955326860406e-11,0.827315954113929,1.1957555537778838e-09,2.030735233783969e-09,1.1291073183389142e-05,3.5240150664351935e-06,0.16849302054809268,1.6803921070233678e-06,0.0015011792192111246,1.2014595612618325e-22,1.2367129512953205e-05,1.4371574146331876e-05,6.12835285926655e-06,0.0,0.0,0.0,-3.5027529774909936e-28,0.0,0.0,-3.502752977497422e-28,0.0,0.0,3.5027529774909936e-28,3.2142423655296924e-40,0.0,0.0,0.0,-4.166554564572641e-07,8.333109129152744e-07,2.777703042239982e-07,9.088050118190914e-20,-5.555406086089686e-07,0.0,0.0,9.856681743925487e-45,-1.9640961467403396e-15,1.1594378147752501e-21,2.321928325507022e-15,-4.8888687872744375e-20,-1.3838005328534668e-18,-6.606856988583543e-20,1.5241299094657067e-19,-1.8042032955170615e-15,4.994373200681783e-20,-2.8731953140906906e-19,-1.480654941630292e-30,-6.553917429380149e-20,2.4823443278130678e-15,-5.171294667608061e-16,3.2142423655296924e-40,3.5027529774909936e-28,4.166554564572641e-07,1.7937163012990394e-08,5.376034455959782e-07,3.395981271143197e-14,1.333067915718193e-18,-5.555406086051102e-07,1.793709902907127e-08,-9.79463409442429e-14,4.603471588528058e-20,1.1018713307320581e-06,-8.333108149689335e-07,-8.3331081496479e-07,5.232487699412925e-24,-2.716718662123492e-18,1.2772056586063285e-18,5.468132981174562e-07,-8.727310490495199e-09,7.888036698160218e-25,-4.295422475426486e-20,-1.0837719610634622e-12,-9.088050118190914e-20,1.8041124150158794e-15,-5.9843822867708445e-09,-2.777692181308816e-07,1.0860932029452389e-12,-2.7178592193722735e-07,-2.7178592193737976e-07,-9.856681743925487e-45,1.480654941244907e-30,3.853851036586112e-40
36.0,400,101324.99999999999,2.7155e-08,0.01,0.6,0.39000000000000007,0.016666666666666666,400.0,1e-11,1e-22,IdealGasReactor,off,0.3899990499718054,0.0,0.0,0.599991230508973,1.4615818378364143e-05,4.871939459480963e-06,1.5945069812146216e-18,0.009990231761383797,0.0,4.30195439241409e-31,3.895382674631546e-43,0.002639969059894681,2.7511471665815556e-11,0.8273170718058627,1.1955225884261935e-09,2.0942641786595714e-09,1.129530694713911e-05,3.526132441831075e-06,0.16849300212530863,1.6800642554042097e-06,0.0015005939258951047,1.2014628039122774e-22,1.2362326099409128e-05,1.4368770440131603e-05,6.1271655567902855e-06,0.0,0.0,0.0,-3.5002429791983156e-28,0.0,0.0,-3.5002429792072695e-28,0.0,0.0,3.5002429791983156e-28,4.4769804377020716e-40,0.0,0.0,0.0,-4.164929016020446e-07,8.329858032040793e-07,2.776619343967158e-07,9.081590770538749e-20,-5.553238688024051e-07,0.0,0.0,9.856634873971691e-45,-4.3216752386556253e-16,-4.155104880020687e-22,-5.989357264540949e-16,1.3230669773572302e-21,-8.288930943107548e-20,-5.929230630780102e-21,-2.80579663777987e-21,-4.233633440460463e-16,-6.457409482561641e-21,-2.5622415782197564e-19,4.622231505515645e-33,3.0704944337968387e-21,-5.897763274313882e-16,1.0222994799871772e-15,4.4769804377020716e-40,3.5002429791983156e-28,4.164929016020446e-07,1.792671679745083e-08,5.373971520049543e-07,3.3940004253616305e-14,1.3325497530612483e-18,-5.553238687985735e-07,1.792665286080306e-08,-9.787926144225563e-14,4.6025796218034013e-20,1.101443205609417e-06,-8.329857053248179e-07,-8.329857053219764e-07,5.228904175766984e-24,-2.7156594156393776e-18,1.2764623780470864e-18,5.466016500557082e-07,-8.722218745637112e-09,7.885001160771052e-25,-4.2929175612504195e-20,-1.0862699628688688e-12,-9.081590770538749e-20,4.2327252813834093e-16,-5.980960256611959e-09,-2.7766084872577115e-07,1.08567093591702e-12,-2.7168097414010385e-07,-2.7168097414010104e-07,-9.856634873971691e-45,-4.622231866529366e-33,3.6101372076707397e-40
45.0,400,101324.99999999999,2.7155e-08,0.01,0.6,0.39000000000000007,0.016666666666666666,400.0,1e-11,1e-22,IdealGasReactor,off,0.38999886018906543,0.0,0.0,0.5999894786682957,1.753555284049238e-05,5.8451842801911915e-06,1.912727701554217e-18,0.009988280405518276,0.0,5.160493767053375e-31,5.6053608202102064e-43,0.0026394579898532337,2.749799749651843e-11,0.8273181889927348,1.1952897139482396e-09,2.1577435359269326e-09,1.1299533207144776e-05,3.528247897879569e-06,0.16849298367228532,1.6797365316862772e-06,0.0015000089749354726,1.2014660451092957e-22,1.2357525484692512e-05,1.4365967825647018e-05,6.125978712927086e-06,0.0,0.0,0.0,-3.4977356591519664e-28,0.0,0.0,-3.4977356591629867e-28,0.0,0.0,3.4977356591519664e-28,5.510129769479473e-40,0.0,0.0,0.0,-4.1633044185784525e-07,8.32660883715628e-07,2.775536279021988e-07,9.075138519329038e-20,-5.551072558103641e-07,0.0,0.0,9.856578167037805e-45,1.0352049560815384e-18,-7.13997728577373e-23,1.4480314106931963e-16,-7.016350135506076e-21,-4.776230741524142e-20,-3.65282958503417e-20,3.451659260061274e-20,6.848142518713938e-18,2.6191064411727367e-21,-2.2522473718593838e-20,6.047419989407952e-32,1.0587911840678754e-21,1.5067546621718905e-16,-1.5162492727867027e-16,5.510129769479473e-40,3.4977356591519664e-28,4.1633044185784525e-07,1.7916278693286894e-08,5.371909771170772e-07,3.39202112013359e-14,1.3320318924672004e-18,-5.551072558062913e-07,1.7916214803864047e-08,-9.781224186631726e-14,4.6016880003075136e-20,1.1010153299647872e-06,-8.326607859033862e-07,-8.326607859005809e-07,5.225323853495094e-24,-2.714600788821041e-18,1.2757196742216076e-18,5.46390124847457e-07,-8.717130961607318e-09,7.881967365914379e-25,-4.290414595155356e-20,-1.0851042286930124e-12,-9.075138519329038e-20,-6.938893903907228e-18,-5.97754085125608e-09,-2.7755254265328205e-07,1.0852489147263871e-12,-2.715760870509427e-07,-2.7157608705097724e-07,-9.856578167037805e-45,-6.047420025375921e-32,3.5967968462903675e-40
53.99999999999999,400,101325.0,2.7155e-08,0.01,0.6,0.39000000000000007,0.016666666666666666,400.0,1e-11,1e-22,IdealGasReactor,off,0.3899986704805234,0.0,0.0,0.5999877275125228,2.045414579531686e-05,6.818048598466183e-06,2.2307221118281824e-18,0.009986329812560134,0.0,6.018417557595494e-31,7.624093656106678e-43,0.0026389471175838728,2.7484532809854504e-11,0.8273193056560216,1.1950569302674355e-09,2.2211733489471917e-09,1.1303751975537091e-05,3.530361437153379e-06,0.1684929652079921,1.679408935761928e-06,0.0014994243660407067,1.2014692847984383e-22,1.2352727666425521e-05,1.4363166303896823e-05,6.124792327977963e-06,0.0,0.0,0.0,-3.4952311076299124e-28,0.0,0.0,-3.495231107644147e-28,0.0,0.0,3.4952311076299124e-28,7.117250952244319e-40,0.0,0.0,0.0,-4.1616807713386187e-07,8.323361542676413e-07,2.7744538475521137e-07,9.0686933564139e-20,-5.548907695117497e-07,0.0,0.0,9.856511657846924e-45,-7.766495716828168e-17,-7.139619573313285e-23,-2.7197804419861957e-17,4.020091956550501e-21,-1.2952304218083197e-20,1.461131834013668e-20,-1.837002704357764e-20,-7.641851987654365e-17,1.9130792167979157e-21,-4.774486495656076e-21,-4.2370462383461436e-33,-7.411538288475128e-22,-2.5950952353916158e-17,1.0361693735166423e-16,7.117250952244319e-40,3.4952311076299124e-28,4.1616807713386187e-07,1.7905848691911558e-08,5.369849208198381e-07,3.390043353838379e-14,1.3315143336486976e-18,-5.548907695076616e-07,1.7905784849669508e-08,-9.774528214704398e-14,4.600796723645402e-20,1.1005877035613042e-06,-8.323360565223591e-07,-8.323360565195897e-07,5.22174672889063e-24,-2.7135427810789243e-18,1.2749775465240874e-18,5.461787223762023e-07,-8.71204713423321e-09,7.87893531303202e-25,-4.287913575092749e-20,-1.0848544285124717e-12,-9.0686933564139e-20,7.632783294297951e-17,-5.974124069448457e-09,-2.774442999280682e-07,1.084827139408063e-12,-2.714712606857629e-07,-2.7147126068574453e-07,-9.856511657846924e-45,4.237045877651919e-33,3.606942247172079e-40
63.0,400,101325.0,2.7155e-08,0.01,0.6,0.39000000000000007,0.016666666666666666,400.0,1e-11,1e-22,IdealGasReactor,off,0.38999848084613575,0.0,0.0,0.5999859770412528,2.337159791202469e-05,7.790532637366824e-06,2.548490460777981e-18,0.009984379982062135,0.0,6.8757264434147394e-31,9.950921560777772e-43,0.0026384364429740312,2.7471077597204496e-11,0.8273204217968188,1.194824237331658e-09,2.2845536611171845e-09,1.1307963261955465e-05,3.532473061379382e-06,0.16849294673170406,1.6790814675577673e-06,0.0014988400989450958,1.2014725229827731e-22,1.2347932642444377e-05,1.4360365874178168e-05,6.12360640165541e-06,0.0,0.0,0.0,-3.492729445002775e-28,0.0,0.0,-3.4927294450193053e-28,0.0,0.0,3.492729445002775e-28,8.265194654219209e-40,0.0,0.0,0.0,-4.160058073567004e-07,8.320116147133069e-07,2.7733720490387594e-07,9.062255272593254e-20,-5.5467440980887e-07,0.0,0.0,9.856435378726164e-45,-8.060506146776056e-18,4.707994552185651e-24,-4.6349642873755315e-18,-7.194740386728624e-22,4.7238626629871463e-23,3.1763735522036263e-22,-1.0587911840678754e-22,-7.02951645663316e-18,-1.2997686732921346e-22,-1.1481266902236024e-21,-3.851863493586745e-34,0.0,-3.6106750405134804e-18,1.1668434041311478e-17,8.265194654219209e-40,3.492729445002775e-28,4.160058073567004e-07,1.7895426785493376e-08,5.367789830233766e-07,3.3880671249854945e-14,1.33099707637347e-18,-5.546744098047817e-07,1.7895362990387628e-08,-9.767838221886544e-14,4.5999057916250355e-20,1.1001603262071698e-06,-8.320115170349246e-07,-8.320115170321694e-07,5.218172798450681e-24,-2.7124853919346862e-18,1.2742359943978321e-18,5.459674425478722e-07,-8.706967259681775e-09,7.875905000767817e-25,-4.2854144991775854e-20,-1.0844103393026217e-12,-9.062255272593254e-20,6.938893903907228e-18,-5.9707099086177665e-09,-2.7733612049826636e-07,1.0844056097624842e-12,-2.7136649499525817e-07,-2.7136649499525806e-07,-9.856435378726164e-45,3.851859888774472e-34,3.6048122735063054e-40
72.0,400,101324.99999999997,2.7155e-08,0.01,0.6,0.39000000000000007,0.016666666666666666,400.0,1e-11,1e-22,IdealGasReactor,off,0.3899982912858592,0.0,0.0,0.5999842272540845,2.6287909859277094e-05,8.76263661978624e-06,2.8660329968245102e-18,0.00998243091357739,0.0,7.73242110300633e-31,1.2585186348823552e-42,0.0026379259659159706,2.7457631850001958e-11,0.8273215374179085,1.1945916350909477e-09,2.3478845157966584e-09,1.1312167075815467e-05,3.5345827722107314e-06,0.16849292824100123,1.678754127003471e-06,0.0014982561733855053,1.2014757596704127e-22,1.2343140410607037e-05,1.4357566535640573e-05,6.122420933621515e-06,0.0,0.0,0.0,-3.4902302499733786e-28,0.0,0.0,-3.4902302499889907e-28,0.0,0.0,3.4902302499733786e-28,7.806017173429253e-40,0.0,0.0,0.0,-4.1584363245453905e-07,8.31687264909128e-07,2.772290882906814e-07,9.055824258588853e-20,-5.54458176605913e-07,0.0,0.0,9.85634936171294e-45,4.4063193734236456e-16,-4.518921328373294e-22,1.988880688119025e-15,2.4292972812429233e-20,-2.3343916862713217e-19,-1.4399560103323106e-19,1.3536645288307787e-19,4.648153333191984e-16,2.7880916017556654e-21,-2.1753195748919522e-20,-1.7333369859450672e-32,-1.4399560103323106e-20,2.013322034770771e-15,-2.453627237653336e-15,7.806017173429253e-40,3.4902302499733786e-28,4.1584363245453905e-07,1.7885012966274584e-08,5.365731636396384e-07,3.3860924320975447e-14,1.3304801204142736e-18,-5.54458176601844e-07,1.788494921826131e-08,-9.761154201662515e-14,4.5990152040722476e-20,1.0997331977147345e-06,-8.316871672975859e-07,-8.316871672945982e-07,5.214602058694453e-24,-2.7114286209201833e-18,1.2734950172911286e-18,5.457562852704752e-07,-8.701891334154763e-09,7.872876427698655e-25,-4.2829173655415373e-20,-1.081995604224062e-12,-9.055824258588853e-20,-4.649058915617843e-16,-5.9672983660833364e-09,-2.772280043063472e-07,1.0839843255701535e-12,-2.7126178992459807e-07,-2.7126178992473344e-07,-9.85634936171294e-45,1.7333369499485123e-32,3.59965549515759e-40
