Distance (mm),T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),X(1),HX(9),OX(10),HOX(13),H2OX(14),N2X2(25),NN_ads(26),NO_ads(27),H2NX(28),H3NX(29),NH_ads(51),N_ads(64),HNOX(67),NO2JX(74),NOX2(82),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],HX(9) ROP [kmol/m^2 s],OX(10) ROP [kmol/m^2 s],HOX(13) ROP [kmol/m^2 s],H2OX(14) ROP [kmol/m^2 s],N2X2(25) ROP [kmol/m^2 s],NN_ads(26) ROP [kmol/m^2 s],NO_ads(27) ROP [kmol/m^2 s],H2NX(28) ROP [kmol/m^2 s],H3NX(29) ROP [kmol/m^2 s],NH_ads(51) ROP [kmol/m^2 s],N_ads(64) ROP [kmol/m^2 s],HNOX(67) ROP [kmol/m^2 s],NO2JX(74) ROP [kmol/m^2 s],NOX2(82) ROP [kmol/m^2 s],NH3(6) + X(1) <=> H3NX(29) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX(10) ROP [kmol/m^2 s],H3NX(29) + OX(10) <=> H2NX(28) + HOX(13) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(14) ROP [kmol/m^2 s],H2OX(14) + OX(10) <=> 2 HOX(13) ROP [kmol/m^2 s],H3NX(29) + HOX(13) <=> H2NX(28) + H2OX(14) ROP [kmol/m^2 s],H2NX(28) + OX(10) <=> HOX(13) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],H2NX(28) + HOX(13) <=> H2OX(14) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NO(5) + X(1) <=> NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HOX(13) + NO_ads(27) ROP [kmol/m^2 s],H2NX(28) + HNOX(67) <=> H3NX(29) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + HOX(13) <=> H2OX(14) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + NH_ads(51) <=> H2NX(28) + NO_ads(27) ROP [kmol/m^2 s],NO_ads(27) + X(1) <=> NOX2(82) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HOX(13) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + N_ads(64) <=> 2 NH_ads(51) ROP [kmol/m^2 s],HNOX(67) + N_ads(64) <=> NH_ads(51) + NO_ads(27) ROP [kmol/m^2 s],NOX2(82) <=> N_ads(64) + OX(10) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],N2(4) + 2 X(1) <=> N2X2(25) ROP [kmol/m^2 s],NOX2(82) + N_ads(64) <=> N2X2(25) + OX(10) ROP [kmol/m^2 s],N2X2(25) <=> 2 N_ads(64) ROP [kmol/m^2 s],N2(4) + X(1) <=> NN_ads(26) ROP [kmol/m^2 s],NN_ads(26) + X(1) <=> N2X2(25) ROP [kmol/m^2 s],NO_ads(27) + OX(10) <=> NO2JX(74) + X(1) ROP [kmol/m^2 s],HX(9) + OX(10) <=> HOX(13) + X(1) ROP [kmol/m^2 s],HOX(13) + HX(9) <=> H2OX(14) + X(1) ROP [kmol/m^2 s],H2O(3) + 2 X(1) <=> HOX(13) + HX(9) ROP [kmol/m^2 s],NH3(6) + 2 X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H3NX(29) + X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H2NX(28) + X(1) <=> HX(9) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + X(1) <=> HX(9) + N_ads(64) ROP [kmol/m^2 s],HNOX(67) + X(1) <=> HX(9) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HX(9) + NO2JX(74) ROP [kmol/m^2 s]
0,598,101325.00000000004,2.771e-08,0.06600000000000002,0.8406060606060607,0.09339393939393943,0.07851478010093728,598.0,1e-11,1e-22,IdealGasReactor,off,0.0933939393939394,0.0,0.0,0.8406060606060606,0.0,0.0,0.0,0.066,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08162786519211443,0.0,0.0,0.0,-0.29090957577630305,0.0,-0.4551480043035103,0.0009826981429784712,0.16325573038422886,0.0,0.0,0.0,0.0,0.0,0.0009826981429784712,0.2899268776333246,0.0,0.0,0.0,0.0,0.0,0.2899268776333246,0.08162786519211443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009826981429784712,0.0,0.0,0.0,0.0,0.0
0.009,598,101325.00000000003,2.771e-08,0.06600000000000002,0.8406060606060607,0.09339393939393943,0.07851478010093728,598.0,1e-11,1e-22,IdealGasReactor,off,0.09339198426023215,0.0,0.0,0.8405256603314271,0.00012560560481459577,4.186853482070133e-05,2.349409503741051e-13,0.06591488126847066,0.0,0.002829543874787918,5.46842031147628e-11,0.7901222128216553,1.3725433204679638e-08,8.065752523087936e-10,2.756420583843662e-08,8.637494127338373e-06,0.20672625985036175,3.370800275760768e-05,1.752721977067244e-05,0.00018982773799158326,7.43059079905813e-06,4.4554757076907413e-13,1.52080738796088e-08,6.479504833070552e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.533914704588646e-07,1.3067829384721259e-06,4.355943116033361e-07,2.444292402013318e-15,-8.711886256888602e-07,0.0,-1.6912644385838032e-14,-1.8357436454222556e-22,2.0704886538364385e-18,2.177967356117748e-20,1.2265037076242269e-18,3.351074097574826e-20,-3.5406638939719797e-20,-1.687341681105175e-14,2.212871312879872e-21,3.994941684861299e-17,-4.224049900687104e-21,-3.5555221257249634e-20,5.793589421192032e-21,4.158077424134856e-21,1.6871394577379233e-14,8.636039418495828e-07,6.533914704588646e-07,1.0495643303080632e-06,-1.3067766353982215e-06,-1.164349765482823e-06,3.277897681753412e-10,5.430902756977545e-07,9.313819352950857e-08,1.4183118848446003e-07,9.313819352950857e-08,4.3544370853710274e-07,4.3544370853710274e-07,-2.444292402013318e-15,8.708874273907853e-07,-7.779320698413794e-16,2.7768128982057993e-18,-1.0797068425878586e-14,8.708874315033199e-07,9.500522095299024e-13,8.400188139604574e-12,1.339458305289769e-10,-1.21543506686714e-11,-9.754013684198286e-19,8.702334939077885e-07,8.400188139604574e-12,1.339458305289769e-10,-4.2012881342545245e-07,6.539207241368544e-10,-4.349403908791973e-07,-1.5465498177883625e-08,-1.546549817784822e-08,-1.2565861886250818e-15,7.58972050738472e-09,1.5506818098142134e-19,-6.303073904350475e-12,7.584683839277409e-09,5.008390759202211e-12,2.917961277224214e-12,3.4121335167005426e-12,2.307303760020141e-20,1.256590346702506e-15
0.018,598,101325.0,2.771e-08,0.06600000000000002,0.8406060606060607,0.09339393939393943,0.07851478010093728,598.0,1e-11,1e-22,IdealGasReactor,off,0.0933900325430038,0.0,0.0,0.8404454005514517,0.00025099172136713556,8.366390688750459e-05,4.697022025787026e-13,0.06582991127682022,0.0,0.002827264405340499,5.459012342788972e-11,0.7902742610720428,1.3715910048459797e-08,1.1800972213897688e-09,2.755596799008605e-08,8.6418765283646e-06,0.206577036091076,3.366042295265452e-05,1.7490516642322182e-05,0.0001894675201364768,7.4242540163049576e-06,4.447622546591416e-13,1.5212275471908633e-08,6.469612197896158e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.522769940437164e-07,1.3045539856002677e-06,4.348513273740019e-07,2.4425249731855122e-15,-8.697026563970522e-07,0.0,7.856539598622917e-14,-7.610201288433556e-21,9.31011649953444e-17,-1.8578009724504525e-19,4.5156173451074005e-17,-2.7303577659150337e-18,2.6087158937554357e-18,7.781383212907735e-14,9.148277938031264e-20,-6.999531642503464e-16,8.90927843836988e-20,-1.916463741951139e-20,8.988829218456162e-20,1.047028752391264e-20,-7.790737383489603e-14,8.621398850083275e-07,6.522769940437164e-07,1.0475756895897428e-06,-1.3045476993964371e-06,-1.1624208786291907e-06,3.2687347505116407e-10,5.424281585754747e-07,9.287546361077562e-08,1.4153274949208455e-07,9.287546361077562e-08,4.3470113130694173e-07,4.3470113130694173e-07,-2.4425249731855122e-15,8.694022729073119e-07,-7.757646747579682e-16,2.7696479098000833e-18,-1.0774047414867144e-14,8.694021823574261e-07,9.48432052071307e-13,8.37241495733427e-12,1.3359892117123843e-10,-1.2100461932487028e-11,-9.728478855741746e-19,8.687498946001906e-07,8.37241495733427e-12,1.3359892117123843e-10,-4.1940021059361057e-07,6.523656646093059e-10,-4.341989617092709e-07,-1.5451116780391314e-08,-1.545111678300003e-08,-1.2544634711197033e-15,7.567794769847228e-09,1.5465313569830997e-19,-6.286203830595126e-12,7.562771388724687e-09,4.9939191877982484e-12,2.9114956885581653e-12,3.40291572687045e-12,2.3011192532008023e-20,1.2544739414072272e-15
0.026999999999999996,598,101325.0,2.771e-08,0.06600000000000002,0.8406060606060607,0.09339393939393943,0.07851478010093728,598.0,1e-11,1e-22,IdealGasReactor,off,0.09338808423557457,0.0,0.0,0.8403652809914448,0.0003761587787927584,0.00012538625924544156,7.042839887513269e-13,0.06574508973423811,0.0,0.0028249869625456146,5.4496234479289575e-11,0.7904261345665137,1.370639560391508e-08,1.5523635445139966e-09,2.7547624083583374e-08,8.646226491130817e-06,0.2064279839702153,3.361290997132064e-05,1.7453901883860153e-05,0.00018910808985238395,7.417923717584737e-06,4.4397861165989817e-13,1.521647798428748e-08,6.459737100762873e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.511646087907995e-07,1.3023292151566278e-06,4.341097371439913e-07,2.4407595807842113e-15,-8.68219476774782e-07,0.0,3.1590372560802786e-15,-2.597243014210388e-21,-3.155744483915908e-17,2.48620184490019e-22,-1.5909819848277523e-17,-2.2075796187815203e-20,6.163157308010099e-20,3.189215524596067e-15,-7.71584987711836e-21,1.431200117190461e-17,-1.193098092903281e-20,-7.07787430888655e-21,3.3475466855661895e-21,2.9843577375097537e-21,-3.1575463683882823e-15,8.606785490129732e-07,6.511646087907995e-07,1.0455912440541343e-06,-1.3023229457736408e-06,-1.1604955210480686e-06,3.259600099876238e-10,5.417667032334223e-07,9.261347292796664e-08,1.412349586887802e-07,9.261347292796664e-08,4.3395994696106906e-07,4.3395994696106906e-07,-2.4407595807842113e-15,8.67919904192641e-07,-7.736040792857216e-16,2.762503547621293e-18,-1.0751078705915485e-14,8.679198882921568e-07,9.468149336138014e-13,8.344738103926326e-12,1.3325300398887557e-10,-1.2046813328972848e-11,-9.703019212821567e-19,8.672690768068115e-07,8.344738103926326e-12,1.3325300398887557e-10,-4.186729852301765e-07,6.508146428917205e-10,-4.3345892250113913e-07,-1.543675191381482e-08,-1.543675191387645e-08,-1.2523584354270987e-15,7.54593789365551e-09,1.5423930162988163e-19,-6.269382987012996e-12,7.540927761808794e-09,4.979493076273606e-12,2.9050445918781314e-12,3.3937249328487136e-12,2.2949526551221733e-20,1.2523614197848363e-15
0.036,598,101324.99999999999,2.771e-08,0.06600000000000002,0.8406060606060607,0.09339393939393943,0.07851478010093728,598.0,1e-11,1e-22,IdealGasReactor,off,0.09338613933127779,0.0,0.0,0.840285301377253,0.0005011072053889519,0.00016703573466030804,9.386865406964395e-13,0.06566041635048145,0.0,0.0028227115456385538,5.440253585378259e-11,0.7905778334305401,1.3696889864866066e-08,1.923377881495405e-09,2.7539174754995858e-08,8.65054413000448e-06,0.20627910336538088,3.356546374311625e-05,1.741737526971287e-05,0.0001887494452980608,7.411599899138863e-06,4.4319663795475945e-13,1.5220681422019077e-08,6.449879513081794e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.500543108436792e-07,1.3001086192519428e-06,4.33369538526411e-07,2.4389962233481066e-15,-8.667390794592193e-07,0.0,2.068357002083953e-15,-2.4493142631219457e-21,-7.050062622655027e-18,1.077689014129469e-20,-3.622124640696202e-18,-9.105604182983729e-20,8.724108484474272e-20,2.0320840006404246e-15,-8.243314842527297e-21,-3.965963107901539e-17,8.703446579060206e-22,-4.3604825990732854e-21,2.69365810116386e-21,5.134594841297858e-22,-2.0250070924784936e-15,8.592199267250245e-07,6.500543108436792e-07,1.0436109848965036e-06,-1.3001023666407194e-06,-1.158573686368039e-06,3.2504936380087834e-10,5.411059097512955e-07,9.235221953243458e-08,1.4093781475037254e-07,9.235221953243458e-08,4.3322015293289713e-07,4.3322015293289713e-07,-2.4389962233481066e-15,8.664403161133407e-07,-7.714502609050692e-16,2.755379748937185e-18,-1.0728162185983554e-14,8.664403013947108e-07,9.452008485575884e-13,8.31715723890405e-12,1.3290807598783296e-10,-1.1993403769702802e-11,-9.677634521830987e-19,8.657910357710691e-07,8.31715723890405e-12,1.3290807598783296e-10,-4.17947134960815e-07,6.492676486487879e-10,-4.3272027087775843e-07,-1.5422403565596033e-08,-1.5422403565683274e-08,-1.2502522615339713e-15,7.524149654382311e-09,1.5382667508277622e-19,-6.2526112234914046e-12,7.519152734194889e-09,4.965112276439585e-12,2.8986079575230234e-12,3.3845610526644567e-12,2.2888039123261092e-20,1.2502527749934555e-15
0.045,598,101324.99999999999,2.771e-08,0.06600000000000002,0.8406060606060607,0.09339393939393943,0.07851478010093728,598.0,1e-11,1e-22,IdealGasReactor,off,0.09338419782345965,0.0,0.0,0.8402054614352574,0.0006258374286168031,0.0002086124756191473,1.1729100898861327e-12,0.06557589083587402,0.0,0.0028204381541776374,5.4309027143267034e-11,0.7907293578824971,1.3687392826704631e-08,2.293143882725322e-09,2.753062062712765e-08,8.654829554708357e-06,0.2061303940609429,3.351808420134868e-05,1.7380936576821685e-05,0.00018839158465791788,7.405282555758974e-06,4.424163296693077e-13,1.522488578352454e-08,6.440039404126923e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.489460965022819e-07,1.2978921905700207e-06,4.3263072896762765e-07,2.4372348983136002e-15,-8.6526146039161e-07,0.0,9.558947082198757e-15,-1.897270886223983e-21,-5.636184120284925e-18,1.710984032538434e-20,-2.713470046529151e-18,9.237953080992213e-20,-6.235618329669744e-20,9.575464687891359e-15,3.2223172152204815e-21,1.3403274819819419e-17,6.558624200156675e-21,3.3610416239560897e-21,-2.369670018445281e-20,-2.4811223624504536e-21,-9.569795284410354e-15,8.577640143075981e-07,6.489460965022819e-07,1.0416349035664545e-06,-1.297885954681629e-06,-1.1566553684931593e-06,3.2414152741077535e-10,5.404457783307417e-07,9.209170150078295e-08,1.4064131638701703e-07,9.209170150078295e-08,4.324817467593912e-07,4.324817467593912e-07,-2.4372348983136002e-15,8.649635037434531e-07,-7.693031968919597e-16,2.7482764511121147e-18,-1.0705297738609734e-14,8.649634815061091e-07,9.435897915288027e-13,8.289672024863522e-12,1.3256413421349134e-10,-1.1940232175501613e-11,-9.652324546629254e-19,8.643157664046799e-07,8.289672024863522e-12,1.3256413421349134e-10,-4.172226572522078e-07,6.477246712245338e-10,-4.3198300429643313e-07,-1.5408071715419844e-08,-1.5408071715357488e-08,-1.2481504816242578e-15,7.502429830043059e-09,1.5341525241001227e-19,-6.235888391803382e-12,7.497446084011931e-09,4.950776641714471e-12,2.8921857565395683e-12,3.3754240053671623e-12,2.2826729720598915e-20,1.2481480005018953e-15
0.054,598,101325.00000000003,2.771e-08,0.06600000000000002,0.8406060606060607,0.09339393939393943,0.07851478010093728,598.0,1e-11,1e-22,IdealGasReactor,off,0.09338225970547949,0.0,0.0,0.840125760892375,0.0007503498751019785,0.000250116624330887,1.4069548674618435e-12,0.06549151290130587,0.0,0.002818166787588115,5.4215707938071765e-11,0.7908807081048344,1.3677904484197993e-08,2.661665188790543e-09,2.7521962324212115e-08,8.659082876318006e-06,0.20598185587732556,3.3470771277789583e-05,1.7344585581913253e-05,0.00018803450611214786,7.398971682785557e-06,4.4163768296364903e-13,1.522909106986963e-08,6.430216744042064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.478399620124822e-07,1.2956799215895147e-06,4.318933059826096e-07,2.4354756035433982e-15,-8.637866143932409e-07,0.0,-3.761708523563218e-16,4.985314016640575e-23,7.660598106589368e-18,2.6521464625986065e-24,1.2705494208814505e-21,7.623296525288703e-21,-6.508257059567222e-21,-3.836441975801669e-16,4.612998060307137e-22,2.292024524578691e-19,1.765142034877073e-21,-1.3958672836832342e-22,-3.890886928237154e-23,2.6099642515093113e-24,3.759565506425222e-16,8.563108068038302e-07,6.478399620124822e-07,1.039662991433813e-06,-1.295673702375171e-06,-1.1547405612309967e-06,3.232364917374842e-10,5.397863091210206e-07,9.183191690544423e-08,1.403454622981275e-07,9.183191690544423e-08,4.3174472594172145e-07,4.3174472594172145e-07,-2.4354756035433982e-15,8.634894620852427e-07,-7.67162864707333e-16,2.7411935917379765e-18,-1.0682485248942757e-14,8.634894498316115e-07,9.41981757075481e-13,8.262282124825031e-12,1.3222117570821084e-10,-1.188729747044122e-11,-9.627089053089878e-19,8.628432637555341e-07,8.262282124825031e-12,1.3222117570821084e-10,-4.1649954963663447e-07,6.46185700120856e-10,-4.312471202824898e-07,-1.5393756345975104e-08,-1.5393756345968596e-08,-1.2460470870579885e-15,7.480778198679123e-09,1.530050299617454e-19,-6.2192143436052955e-12,7.475807589410697e-09,4.936486025538143e-12,2.885777959751634e-12,3.3663137099411294e-12,2.2765597815060018e-20,1.2460470896679528e-15
0.06299999999999999,598,101325.00000000003,2.771e-08,0.06600000000000002,0.8406060606060607,0.09339393939393943,0.07851478010093728,598.0,1e-11,1e-22,IdealGasReactor,off,0.09338032497070956,0.0,0.0,0.840046199476055,0.0008746449706376388,0.00029154832272591363,1.640821104229065e-12,0.0654072822582312,0.0,0.0028158974453723,5.412257783096039e-11,0.7910318843032644,1.3668424832502138e-08,3.0289454307217007e-09,2.7513200465192236e-08,8.663304204506501e-06,0.20583348861160897,3.342352490514033e-05,1.730832206276539e-05,0.00018767820785051104,7.392667275191259e-06,4.40860693990241e-13,1.523329728038999e-08,6.42041150246388e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.467359036628993e-07,1.2934718049256014e-06,4.311572670469379e-07,2.4337183366242208e-15,-8.623145365948858e-07,0.0,-7.350231665026862e-16,-2.1664893669372518e-20,-6.666004600258381e-17,1.3081840762926516e-19,-3.378094448592238e-17,6.109754527663675e-19,-5.278338750374376e-19,-7.007446662608683e-16,-3.684137321087665e-20,3.2351633866789797e-19,1.9711907867594717e-20,3.4283534463025923e-20,-1.0003068242516515e-20,4.1464489724563365e-21,7.675349986906439e-16,8.548602995652041e-07,6.467359036628993e-07,1.0376952399427132e-06,-1.2934656023366701e-06,-1.1528292584640335e-06,3.2233424774911254e-10,5.391275022992762e-07,9.157286382824316e-08,1.4005025119315832e-07,9.157286382824316e-08,4.3100908800937016e-07,4.3100908800937016e-07,-2.4337183366242208e-15,8.620181861977575e-07,-7.650292418191141e-16,2.7341311085757507e-18,-1.0659724601440259e-14,8.620181742857724e-07,9.403767398074316e-13,8.234987203448174e-12,1.31879197530856e-10,-1.183459858456823e-11,-9.601927807018867e-19,8.613735227934589e-07,8.234987203448174e-12,1.31879197530856e-10,-4.157778096089309e-07,6.44650724778571e-10,-4.305126163222425e-07,-1.5379457438007022e-08,-1.5379457437479188e-08,-1.2439458894834262e-15,7.459194539498342e-09,1.5259600410794106e-19,-6.202588931358794e-12,7.454237029681798e-09,4.922240282101693e-12,2.879384538189e-12,3.357230085804226e-12,2.270464288136059e-20,1.2439500359323987e-15
0.07199999999999998,598,101324.99999999999,2.771e-08,0.06600000000000002,0.8406060606060607,0.09339393939393943,0.07851478010093728,598.0,1e-11,1e-22,IdealGasReactor,off,0.09337839361253511,0.0,0.0,0.8399667769142802,0.0009987231401836414,0.0003329077124576799,1.8745090306654546e-12,0.06532319861866884,0.0,0.0028136301268232135,5.4029636411604875e-11,0.791182886626837,1.3658953865780407e-08,3.394988229609449e-09,2.750433567272946e-08,8.667493651257084e-06,0.20568529211774078,3.3376345013648456e-05,1.7272145796454353e-05,0.00018732268805334525,7.386369328814837e-06,4.4008535894997274e-13,1.5237504418633873e-08,6.410623650370868e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.456339176532854e-07,1.2912678328746066e-06,4.3042260974162457e-07,2.4319630958151805e-15,-8.608452219161699e-07,0.0,-9.935581327751676e-17,1.7436172187198383e-22,-1.1849437890995445e-18,-1.2260033563920075e-21,-2.752857078576476e-21,3.1234339930002325e-21,-3.0936554909483235e-21,-9.839322650741125e-17,-1.7017383178074568e-22,-2.316374435756458e-19,-4.0167898623510693e-22,1.2262952581098635e-22,-2.4889004741779476e-22,-1.1486111332553727e-22,9.958383388517312e-17,8.534124877324339e-07,6.456339176532854e-07,1.0357316404016263e-06,-1.2912616468625995e-06,-1.150921453916607e-06,3.2143478639637296e-10,5.384693579614463e-07,9.131454034183692e-08,1.3975568176325398e-07,9.131454034183692e-08,4.3027483043294877e-07,4.3027483043294877e-07,-2.4319630958151805e-15,8.605496710221669e-07,-7.629023059386894e-16,2.727088939625769e-18,-1.0637015682945414e-14,8.60549658532328e-07,9.387747342060183e-13,8.20778692536009e-12,1.3153819673008541e-10,-1.1782134450134426e-11,-9.576840576925748e-19,8.599065386978734e-07,8.20778692536009e-12,1.3153819673008541e-10,-4.1505743476463763e-07,6.431197348707496e-10,-4.2977949000675385e-07,-1.5365174976986964e-08,-1.536517497698387e-08,-1.2418569474168195e-15,7.437678631236071e-09,1.5218817120733295e-19,-6.18601200706859e-12,7.43273418373605e-09,4.908039265346706e-12,2.8730054625026907e-12,3.348173052125792e-12,2.2643864392282685e-20,1.2418568325557062e-15
0.08099999999999999,598,101325.0,2.771e-08,0.06600000000000002,0.8406060606060607,0.09339393939393943,0.07851478010093728,598.0,1e-11,1e-22,IdealGasReactor,off,0.0933764656243543,0.0,0.0,0.8398874929355653,0.0011225848078691518,0.000374194934902448,2.1080188769166565e-12,0.06523926169520064,0.0,0.002811364831500508,5.393688327579259e-11,0.7913337153003723,1.3649491579498398e-08,3.759797197317989e-09,2.7495368558339896e-08,8.671651324719475e-06,0.20553726617362528,3.332923153674286e-05,1.723605656227397e-05,0.0001869679449232115,7.3800778383181025e-06,4.3931167399950095e-13,1.5241712482501346e-08,6.400853157022888e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.445340003132029e-07,1.2890679981961832e-06,4.296893315136946e-07,2.4302098784763397e-15,-8.593786654591598e-07,0.0,-1.3419277789245496e-16,-2.0355035097212958e-23,-6.49350883860761e-18,-6.655559128885745e-22,-9.952637130238029e-21,-3.017554874593445e-21,3.285561393060626e-21,-1.326230455158192e-16,-6.961177219031218e-22,-4.954599770066937e-18,-1.7875849635475426e-21,-1.819797347616661e-23,5.044907617957664e-22,-2.899360241172355e-24,1.391395900979436e-16,8.519673666265368e-07,6.445340003132029e-07,1.0337721843322722e-06,-1.2890618287127588e-06,-1.1490171415419886e-06,3.205380987210383e-10,5.378118763034719e-07,9.105694454059939e-08,1.3946175272838974e-07,9.105694454059939e-08,4.295419507690982e-07,4.295419507690982e-07,-2.4302098784763397e-15,8.590839116717813e-07,-7.607820346295016e-16,2.720067023012877e-18,-1.0614358377600119e-14,8.590838992406091e-07,9.371757349403044e-13,8.180680957930114e-12,1.3119817038872767e-10,-1.1729904007811807e-11,-9.551827129439682e-19,8.584423063816523e-07,8.180680957930114e-12,1.3119817038872767e-10,-4.1433842257162435e-07,6.415927198171879e-10,-4.290477387938777e-07,-1.5350908942070252e-08,-1.5350908942073538e-08,-1.2397674759546208e-15,7.4162302549005155e-09,1.517815276589761e-19,-6.169483424378758e-12,7.411298832623076e-09,4.893882830626798e-12,2.8666407039374363e-12,3.3391425289600715e-12,2.2583261826684277e-20,1.2397674730552605e-15
