Distance (mm),T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),X(1),HX(9),OX(10),HOX(13),H2OX(14),N2X2(25),NN_ads(26),NO_ads(27),H2NX(28),H3NX(29),NH_ads(51),N_ads(64),HNOX(67),NO2JX(74),NOX2(82),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],HX(9) ROP [kmol/m^2 s],OX(10) ROP [kmol/m^2 s],HOX(13) ROP [kmol/m^2 s],H2OX(14) ROP [kmol/m^2 s],N2X2(25) ROP [kmol/m^2 s],NN_ads(26) ROP [kmol/m^2 s],NO_ads(27) ROP [kmol/m^2 s],H2NX(28) ROP [kmol/m^2 s],H3NX(29) ROP [kmol/m^2 s],NH_ads(51) ROP [kmol/m^2 s],N_ads(64) ROP [kmol/m^2 s],HNOX(67) ROP [kmol/m^2 s],NO2JX(74) ROP [kmol/m^2 s],NOX2(82) ROP [kmol/m^2 s],NH3(6) + X(1) <=> H3NX(29) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX(10) ROP [kmol/m^2 s],H3NX(29) + OX(10) <=> H2NX(28) + HOX(13) ROP [kmol/m^2 s],H2O(3) + X(1) <=> H2OX(14) ROP [kmol/m^2 s],H2OX(14) + OX(10) <=> 2 HOX(13) ROP [kmol/m^2 s],H3NX(29) + HOX(13) <=> H2NX(28) + H2OX(14) ROP [kmol/m^2 s],H2NX(28) + OX(10) <=> HOX(13) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],H2NX(28) + HOX(13) <=> H2OX(14) + NH_ads(51) ROP [kmol/m^2 s],2 H2NX(28) <=> H3NX(29) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HNOX(67) + X(1) ROP [kmol/m^2 s],NO(5) + X(1) <=> NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HOX(13) + NO_ads(27) ROP [kmol/m^2 s],H2NX(28) + HNOX(67) <=> H3NX(29) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + HOX(13) <=> H2OX(14) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + NH_ads(51) <=> H2NX(28) + NO_ads(27) ROP [kmol/m^2 s],NO_ads(27) + X(1) <=> NOX2(82) ROP [kmol/m^2 s],NH_ads(51) + OX(10) <=> HOX(13) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],H2NX(28) + N_ads(64) <=> 2 NH_ads(51) ROP [kmol/m^2 s],HNOX(67) + N_ads(64) <=> NH_ads(51) + NO_ads(27) ROP [kmol/m^2 s],NOX2(82) <=> N_ads(64) + OX(10) ROP [kmol/m^2 s],H2NX(28) + NH_ads(51) <=> H3NX(29) + N_ads(64) ROP [kmol/m^2 s],HOX(13) + NH_ads(51) <=> H2OX(14) + N_ads(64) ROP [kmol/m^2 s],N2(4) + 2 X(1) <=> N2X2(25) ROP [kmol/m^2 s],NOX2(82) + N_ads(64) <=> N2X2(25) + OX(10) ROP [kmol/m^2 s],N2X2(25) <=> 2 N_ads(64) ROP [kmol/m^2 s],N2(4) + X(1) <=> NN_ads(26) ROP [kmol/m^2 s],NN_ads(26) + X(1) <=> N2X2(25) ROP [kmol/m^2 s],NO_ads(27) + OX(10) <=> NO2JX(74) + X(1) ROP [kmol/m^2 s],HX(9) + OX(10) <=> HOX(13) + X(1) ROP [kmol/m^2 s],HOX(13) + HX(9) <=> H2OX(14) + X(1) ROP [kmol/m^2 s],H2O(3) + 2 X(1) <=> HOX(13) + HX(9) ROP [kmol/m^2 s],NH3(6) + 2 X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H3NX(29) + X(1) <=> H2NX(28) + HX(9) ROP [kmol/m^2 s],H2NX(28) + X(1) <=> HX(9) + NH_ads(51) ROP [kmol/m^2 s],NH_ads(51) + X(1) <=> HX(9) + N_ads(64) ROP [kmol/m^2 s],HNOX(67) + X(1) <=> HX(9) + NO_ads(27) ROP [kmol/m^2 s],HNOX(67) + OX(10) <=> HX(9) + NO2JX(74) ROP [kmol/m^2 s]
0,648,101325.00000000001,2.771e-08,0.12000000000000001,0.30000000000000004,0.5800000000000001,0.4,648.0,1e-11,1e-22,IdealGasReactor,off,0.58,0.0,0.0,0.3,0.0,0.0,0.0,0.12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02582595819036574,0.0,0.0,0.0,-0.5087075207452016,0.0,-0.562672576945918,0.002313139819984945,0.05165191638073148,0.0,0.0,0.0,0.0,0.0,0.002313139819984945,0.5063943809252167,0.0,0.0,0.0,0.0,0.0,0.5063943809252167,0.02582595819036574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002313139819984945,0.0,0.0,0.0,0.0,0.0
0.009,648,101324.99999945295,2.771e-08,0.12000000000000001,0.30000000000000004,0.5800000000000001,0.4,648.0,1e-11,1e-22,IdealGasReactor,off,0.5801927212746715,0.0,0.0,0.29973664286884905,3.860734831922401e-05,5.604351273346531e-07,7.262032792868219e-17,0.1200314680730329,0.0,0.3771472038418758,2.3982783047308904e-07,0.604106416877126,3.3642376787041e-07,1.0924300409468698e-07,7.718483910749936e-08,5.219051086394601e-07,0.0031511962022497883,0.0007561970898916702,0.0015666975198930847,0.013066090781333528,2.2944032336844983e-05,5.61537463762762e-11,1.0501321712346793e-11,0.00018196900408792675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003668923894758477,0.00038876516461257656,4.7393703045701385e-06,7.472160788516681e-16,-0.0002544632103991153,0.0,-0.007021343499092576,-9.038905015700798e-09,0.006770145735255803,-1.2168201659588123e-09,-4.6168982861935146e-07,-1.628073981034781e-08,-9.42601679790236e-08,0.00017280881458310856,-2.0654022618309426e-05,-2.8965390946777123e-05,0.00011499715492959641,4.280148327690437e-07,5.019669880405258e-13,8.89084920266015e-13,6.590979433367156e-06,-3.183223036601346e-05,0.003668923894758477,0.00018976670999349614,-0.00038814134374751065,-0.00030648291269394083,1.2126574462269092e-06,3.13216827152414e-05,9.69807149964996e-05,7.91491985786386e-05,9.69807149964996e-05,9.377219922500967e-05,9.377219922500967e-05,-7.472160788516681e-16,0.0001875443970271805,3.1468362150448973e-13,1.4488709542746522e-14,-4.850342737536071e-14,1.4735582475111642e-05,5.487447596599724e-10,5.6256914783755865e-08,4.174425695070819e-07,-3.9777683140841636e-07,-2.8295434816323736e-17,8.130447226011551e-06,5.6256914783755865e-08,4.174425695070819e-07,-4.7380813864545395e-06,1.4155815732934352e-08,-4.614673581047833e-06,-1.2889181155988718e-09,9.297124986342472e-08,2.5196310942312344e-13,0.0002861518321770544,4.658205257313475e-14,-6.238208650658962e-07,0.00028629544076512876,2.2773727829094406e-07,4.8089460227608026e-08,1.9534603980804428e-07,3.1094361530675505e-15,6.371218108428915e-13
0.018,648,101324.99999999996,2.771e-08,0.12000000000000001,0.30000000000000004,0.5800000000000001,0.4,648.0,1e-11,1e-22,IdealGasReactor,off,0.5800278360518569,0.0,0.0,0.2987988892703182,0.0017437389965250785,0.0005689411481220221,2.168003161362501e-12,0.11886059453100982,0.0,0.01857216292302581,1.531888237169121e-09,0.8852775543553385,7.544607296569254e-08,2.9616890891083982e-08,9.849900210630881e-08,1.3519672792144188e-05,0.09510210026965576,0.00010010699264515392,7.629404420824024e-05,0.0005617157895725246,2.5919084116728106e-05,3.536816983234445e-12,9.431436095710078e-09,0.000270412339818173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.867561440430566e-06,1.7735122858925838e-05,5.911707607962899e-06,2.254856245236192e-14,-1.1823415239121745e-05,0.0,-1.013745421361476e-14,-2.2951135879557428e-20,-3.688766208256025e-16,5.4132171043034115e-20,-6.208920909963472e-16,1.0323637561135413e-17,-5.424451933775743e-19,-1.0102983572551536e-14,-1.0703205308432161e-19,2.518817532551897e-16,-2.7317851694595706e-19,-1.283817397906801e-19,1.64573025944562e-19,-2.984730145135258e-22,1.0479267910779178e-14,1.106965142205242e-05,8.867561440430566e-06,1.4455433374777572e-05,-1.7734231913146717e-05,-1.5363587385547687e-05,1.3239478661285159e-08,6.075323628040548e-06,1.699489980232301e-06,2.349357365478524e-06,1.699489980232301e-06,5.906859971599526e-06,5.906859971599526e-06,-2.254856245236192e-14,1.1813720115932325e-05,-1.75863635378678e-14,2.0438446741864708e-16,-1.9436695913516058e-13,1.1813719930753308e-05,3.4564515552112146e-11,3.201090552275276e-10,4.023841283711862e-09,-5.593544581260318e-10,-3.670532449506638e-17,1.1789960432605682e-05,3.201090552275276e-10,4.023841283711862e-09,-5.8792429076533464e-06,2.3759487668357995e-08,-5.887948120304323e-06,-3.246470030955316e-08,-3.246470030901071e-08,-3.9045803342215913e-14,7.541985605866857e-07,6.651662568211824e-17,-8.90945779120342e-10,7.53763817069325e-07,5.987293503766772e-10,3.1344497746237853e-10,4.1347598292913054e-10,6.403525650190654e-18,3.90458030437429e-14
0.026999999999999996,648,101325.00000000001,2.771e-08,0.12000000000000001,0.30000000000000004,0.5800000000000001,0.4,648.0,1e-11,1e-22,IdealGasReactor,off,0.5798651068897358,0.0,0.0,0.2978733978601915,0.003426574120822389,0.0011298896407364305,4.320765221607389e-12,0.117705031484193,0.0,0.018484141523135444,1.5154016939701584e-09,0.8859893042318864,7.509089756042446e-08,5.35902231660607e-08,1.0262902267234153e-07,1.4153655282530228e-05,0.0944903980014976,9.917137178687981e-05,7.519402641405142e-05,0.000554237942223562,2.5756514698977912e-05,3.491329338724107e-12,9.422965959552106e-09,0.00026740048107222957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.756552566326366e-06,1.751310510605295e-05,5.8377016935429355e-06,2.2403407126107497e-14,-1.1675403393222943e-05,0.0,1.0068271950614818e-15,-3.3637785376320173e-19,2.4167378504970544e-15,2.7084061522342638e-18,4.267079243658149e-15,-7.464986067446874e-17,1.3953292854128297e-17,-1.1076921748820554e-14,-3.836340637904825e-19,-1.3658550686562065e-14,3.3295756734545725e-18,8.203547181382401e-19,-5.065768322693842e-19,3.637356469653269e-21,8.587271579086038e-15,1.0935988554856141e-05,8.756552566326366e-06,1.4258803668766249e-05,-1.7512230314015192e-05,-1.5174884425237593e-05,1.2985607931457926e-08,6.023417465772881e-06,1.6678811301880463e-06,2.3164570711122395e-06,1.6678811301880463e-06,5.832945799145471e-06,5.832945799145471e-06,-2.2403407126107497e-14,1.1665891768092128e-05,-1.7225060703487348e-14,2.0061925937085025e-16,-1.913130245750174e-13,1.166589158696496e-05,3.4131999736550704e-11,3.128975017590968e-10,3.951606867525488e-09,-5.426273432643512e-10,-3.598395303505647e-17,1.1642543948196735e-05,3.128975017590968e-10,3.951606867525488e-09,-5.805491697840202e-06,2.3347630180953915e-08,-5.814354063301285e-06,-3.2209995702733384e-08,-3.220999571668668e-08,-3.856647650296889e-14,7.398425009293363e-07,6.531058117174607e-17,-8.747920377580592e-10,7.394148383668021e-07,5.873299715360942e-10,3.0904565090524386e-10,4.0604047005512394e-10,6.2898830737977526e-18,3.856648014032536e-14
0.036,648,101324.99999999996,2.771e-08,0.12000000000000001,0.30000000000000004,0.5800000000000001,0.4,648.0,1e-11,1e-22,IdealGasReactor,off,0.5797045018391971,0.0,0.0,0.2969599869339964,0.0050874431172091925,0.0016835160456707254,6.458544233801604e-12,0.11656455205746839,0.0,0.018396401298583807,1.4991175007205553e-09,0.886694030394201,7.473810682580735e-08,7.702173714669283e-08,1.0660510421167344e-07,1.4772142424822824e-05,0.09388527468043298,9.824442906901907e-05,7.411176894458358e-05,0.0005468731815970835,2.5595170935916952e-05,3.4465373674090997e-12,9.414757559939444e-09,0.0002644276515410692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.647073141077781e-06,1.7294146260124594e-05,5.764715408769158e-06,2.2259813038267368e-14,-1.1529430840049619e-05,0.0,-3.5204446881254275e-15,6.577537808351972e-20,-1.2081136802962843e-16,-6.732790864361307e-20,-2.314822460233387e-16,4.012395071143621e-18,-4.069463915964879e-19,-3.4973846396529028e-15,-8.068816003209764e-20,1.2093094185597199e-16,-6.164165434381648e-20,-2.614883352402631e-20,5.756335475632035e-20,4.351912868582846e-22,3.620843447115198e-15,1.0804078607189876e-05,8.647073141077781e-06,1.4065092749937405e-05,-1.7293287310503444e-05,-1.4988751080544997e-05,1.2737056833558241e-08,5.9718991200184235e-06,1.6368578316001425e-06,2.2840375687429224e-06,1.6368578316001425e-06,5.760049333780462e-06,5.760049333780462e-06,-2.2259813038267368e-14,1.1520098834483876e-05,-1.6872140147756792e-14,1.969314623296012e-16,-1.8831223632199299e-13,1.1520098648798438e-05,3.370543913927012e-11,3.0585575428541715e-10,3.880801944712418e-09,-5.264059336754655e-10,-3.52786229596389e-17,1.1497155074553584e-05,3.0585575428541715e-10,3.880801944712418e-09,-5.732757370667101e-06,2.294357062401018e-08,-5.741771838148753e-06,-3.195803810205715e-08,-3.195803810165021e-08,-3.809353565686945e-14,7.257729305592007e-07,6.41277811998861e-17,-8.589496211515015e-10,7.253522328597416e-07,5.76158134698854e-10,3.04705588575996e-10,3.9874556181484824e-10,6.178344791324139e-18,3.8093536092060736e-14
0.045,648,101325.0,2.771e-08,0.12000000000000001,0.30000000000000004,0.5800000000000001,0.4,648.0,1e-11,1e-22,IdealGasReactor,off,0.5795459894347206,0.0,0.0,0.2960584775374945,0.006726671380907231,0.002229928828655699,8.581522913842783e-12,0.11543893280964053,0.0,0.018308947640626592,1.4830332831339912e-09,0.8873918078276224,7.438768981476797e-08,9.99216523595997e-08,1.1043123315861073e-07,1.537543376104185e-05,0.09328665220877681,9.732610933791429e-05,7.304698128039203e-05,0.0005396197514647193,2.5435046459019638e-05,3.4024297867044283e-12,9.406808217139807e-09,0.0002614933668518257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.539103139404073e-06,1.7078206258564622e-05,5.692735407214729e-06,2.2117761669607626e-14,-1.1385470839056832e-05,0.0,1.161197552094215e-14,2.6375564618610953e-19,-1.1415819761510636e-15,-1.2522712019990277e-18,-1.8994205622409333e-15,3.33959680113953e-17,-2.471073039826612e-18,1.2249462469682867e-14,-2.3466147210788474e-19,1.2805963028347798e-15,-8.978156847092504e-19,2.579380760511855e-19,6.622281327874259e-19,-1.8007576589235347e-20,-1.1082066944579532e-14,1.0673900381227147e-05,8.539103139404073e-06,1.3874259599408095e-05,-1.707736284596161e-05,-1.4805153989416607e-05,1.2493710817364317e-08,5.920768357247715e-06,1.6064100983271082e-06,2.2520923491149196e-06,1.6064100983271082e-06,5.6881572677335425e-06,5.6881572677335425e-06,-2.2117761669607626e-14,1.1376314699565765e-05,-1.652739399312524e-14,1.9331940046964638e-16,-1.8536364082976387e-13,1.1376314501099216e-05,3.3284755888297045e-11,2.989797935234195e-10,3.811397228504697e-09,-5.106747981354598e-10,-3.458895228475951e-17,1.1353767351436798e-05,2.989797935234195e-10,3.811397228504697e-09,-5.661026612633726e-06,2.254716074448486e-08,-5.670188246501169e-06,-3.17087945810026e-08,-3.170879457853153e-08,-3.7626911770732396e-14,7.119843051030926e-07,6.296778326193944e-17,-8.434126030111865e-10,7.115704578296848e-07,5.65209434961477e-10,3.0042419411295664e-10,3.9158867761340097e-10,6.068873667984709e-18,3.762689376315581e-14
0.054,648,101324.99999999997,2.771e-08,0.12000000000000001,0.30000000000000004,0.5800000000000001,0.4,648.0,1e-11,1e-22,IdealGasReactor,off,0.5793895386880467,0.0,0.0,0.29516869343079144,0.008344579371602429,0.002769234810240606,1.0689881302806524e-11,0.11432795368862898,0.0,0.01822178575554024,1.4671466829532455e-09,0.8880827109376003,7.403963537817181e-08,1.223000276266672e-07,1.1411131442783795e-07,1.5963824048128683e-05,0.0926944532279709,9.64163569057733e-05,7.199937705327748e-05,0.0005324759195254638,2.527613479651933e-05,3.3589954849165146e-12,9.399115272662892e-09,0.00025859714596090754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.432622699433683e-06,1.6865245377177573e-05,5.621748447877784e-06,2.1977234675671224e-14,-1.124349691835749e-05,0.0,1.4655684867122677e-14,-1.2946476422072836e-20,-1.7862824361359493e-16,3.673415383930561e-19,-2.9136578132832325e-16,4.213988912590144e-18,4.881689103042948e-19,1.4992405662886442e-14,8.826673710552019e-20,4.332621181148787e-16,-2.675984599312509e-19,1.5574156573148405e-20,2.866395133916084e-21,8.582674568245525e-21,-1.4810237254844498e-14,1.0545432858381776e-05,8.432622699433683e-06,1.3686263577546158e-05,-1.6864417202023206e-05,-1.4624060056792873e-05,1.2255457678876548e-08,5.870024852934829e-06,1.5765280708124488e-06,2.2206149590005287e-06,1.5765280708124488e-06,5.6172564011909866e-06,5.6172564011909866e-06,-2.1977234675671224e-14,1.1234512963710586e-05,-1.619061960123145e-14,1.8978143370949149e-16,-1.8246630039908793e-13,1.1234512765412319e-05,3.2869872743387154e-11,2.922656903732345e-10,3.7433640039744335e-09,-4.954189712695215e-10,-3.391456825973984e-17,1.1212354525480428e-05,2.922656903732345e-10,3.7433640039744335e-09,-5.590286215343363e-06,2.2158254742127868e-08,-5.599590193140358e-06,-3.146223253442059e-08,-3.146223253490876e-08,-3.716646783697851e-14,6.984711696151281e-07,6.183015212086976e-17,-8.281751543666681e-10,6.98064059975714e-07,5.54479538502972e-10,2.9620086885015124e-10,3.8456727580702817e-10,5.961433072587548e-18,3.716647641965308e-14
0.06299999999999999,648,101324.99999999997,2.771e-08,0.12000000000000001,0.30000000000000004,0.5800000000000001,0.4,648.0,1e-11,1e-22,IdealGasReactor,off,0.5792351190818912,0.0,0.0,0.2942904610525941,0.00994148267843706,0.0033015391874542054,1.278379680827097e-11,0.1132313979868397,0.0,0.01813492066722727,1.4514553583400113e-09,0.8887668135224102,7.36939321732911e-08,1.4416676234915382e-07,1.1764917236220905e-07,1.6537603300909553e-05,0.09210860114318857,9.55151155828405e-05,7.09686740182398e-05,0.000525439977263614,2.5118429381750966e-05,3.316223519793463e-12,9.39167609158421e-09,0.0002557385113120367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.327612125591336e-06,1.6655224228892295e-05,5.551741399006612e-06,2.183821389262875e-14,-1.110348282037169e-05,0.0,4.421358248187521e-15,-1.7341511953111307e-19,2.6554982790478206e-16,7.555690925506534e-19,4.570691427337875e-16,-5.913984037729525e-18,-1.0653689242988971e-18,5.39485977897223e-15,-7.960295076721635e-20,8.053149906545506e-16,1.7359315732614408e-19,1.3499587596865412e-20,-1.9772634610426014e-19,3.894905387266072e-21,-5.665873469542955e-15,1.0418655145491562e-05,8.327612125591336e-06,1.3501064429035601e-05,-1.6654410997349496e-05,-1.4445436459727778e-05,1.2022187521519845e-08,5.819668194097022e-06,1.5472020163530968e-06,2.1895990020719035e-06,1.5472020163530968e-06,5.547333644289718e-06,5.547333644289718e-06,-2.183821389262875e-14,1.1094667447189422e-05,-1.586161945144052e-14,1.8631595705598402e-16,-1.7961929304213291e-13,1.1094667261346558e-05,3.246071310768971e-11,2.857096042315109e-10,3.676674119165807e-09,-4.80623940147183e-10,-3.325510716460724e-17,1.1072890557754134e-05,2.857096042315109e-10,3.676674119165807e-09,-5.520523079318564e-06,2.1776709258297026e-08,-5.529964689741335e-06,-3.1218319688047074e-08,-3.1218319686981705e-08,-3.671220385560779e-14,6.852281580427443e-07,6.071445974982179e-17,-8.132315427984928e-10,6.848276748801272e-07,5.439641821630684e-10,2.920350121894956e-10,3.776788535404647e-10,5.855986878188199e-18,3.671220775051318e-14
0.07199999999999998,648,101324.99999999997,2.771e-08,0.12000000000000001,0.30000000000000004,0.5800000000000001,0.4,648.0,1e-11,1e-22,IdealGasReactor,off,0.5790827005636917,0.0,0.0,0.2934236094846333,0.01151769208470125,0.003826945555366946,1.4863444245090212e-11,0.11214905229674325,0.0,0.01804835721958667,1.4359569842152508e-09,0.8894441887358348,7.335056867091161e-08,1.6553159783240638e-07,1.2104855171425429e-07,1.709705683799448e-05,0.0915290201582091,9.462232870711179e-05,6.995459402269769e-05,0.0005185102397885597,2.4961923562863343e-05,3.2741031171188163e-12,9.384488066050388e-09,0.00025291698901258114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.224051891037326e-06,1.644810376086006e-05,5.482701242433048e-06,2.170068134556339e-14,-1.0965402508605747e-05,0.0,1.8858744725352636e-14,2.0300481660226127e-19,-3.207535399719975e-16,-9.537660113847943e-20,-4.937016236366415e-16,7.896888167251842e-18,2.7846208140985124e-20,2.0411920453370876e-14,-7.064003523989802e-20,1.6949186086356996e-15,-1.220627002962344e-19,-8.207616909996162e-20,-9.568147854792375e-20,-1.3284351114548536e-20,-2.0083342536053647e-14,1.0293546482194327e-05,8.224051891037326e-06,1.3318622287066832e-05,-1.6447305184728454e-05,-1.4269250651691074e-05,1.1793792717057442e-08,5.76969788163152e-06,1.5184223292175186e-06,2.159038139631857e-06,1.5184223292175186e-06,5.478376018792398e-06,5.478376018792398e-06,-2.170068134556339e-14,1.0956752193526729e-05,-1.554020102322153e-14,1.8292139995611734e-16,-1.7682171235968106e-13,1.0956751995472302e-05,3.205720103754941e-11,2.793077813076423e-10,3.611299976112123e-09,-4.66275631183572e-10,-3.2610214113792623e-17,1.093534963218892e-05,2.793077813076423e-10,3.611299976112123e-09,-5.4517242183207614e-06,2.1402383366725576e-08,-5.4612988590742474e-06,-3.0977024112286904e-08,-3.097702411231475e-08,-3.6264025170688386e-14,6.722499926312218e-07,5.96202852700088e-17,-7.985761316067545e-10,6.718560264114196e-07,5.336591729665105e-10,2.8792602195122116e-10,3.7092094655010666e-10,5.7524994621120726e-18,3.626401188633727e-14
0.08099999999999999,648,101325.0,2.771e-08,0.12000000000000001,0.30000000000000004,0.5800000000000001,0.4,648.0,1e-11,1e-22,IdealGasReactor,off,0.5789322535393877,0.0,0.0,0.2925679704162657,0.013073513632201859,0.004345555928540662,1.6928995875598526e-11,0.11108070646667516,0.0,0.01796210007966231,1.4206492526422854e-09,0.8901149090821734,7.300953316511142e-08,1.8640411865908834e-07,1.2431311861824192e-07,1.7642465323818768e-05,0.09095563527726495,9.373793917715304e-05,6.895686297753029e-05,0.0005116850456894392,2.480661060797773e-05,3.232623668994055e-12,9.377548615472808e-09,0.00025013210892260024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.121922640599276e-06,1.6243845260111263e-05,5.414615075589991e-06,2.1564619248926766e-14,-1.0829230173531557e-05,0.0,-4.516511367207404e-14,2.9023472392363866e-19,-3.158574322529505e-16,-8.224216344530774e-19,-4.84247041879389e-16,1.53338374441446e-17,-7.195233867014961e-18,-4.4848035782115337e-14,-1.6267902613138972e-19,4.47196346317044e-16,-1.107511088171483e-19,1.5681359180535277e-19,2.697605149703181e-20,3.399023913390837e-21,4.5171609614068645e-14,1.0170086247388022e-05,8.121922640599276e-06,1.3138897678161324e-05,-1.6243061056732248e-05,-1.409547036764435e-05,1.1570167867664333e-08,5.720113333065038e-06,1.490179530798022e-06,2.12892609145349e-06,1.490179530798022e-06,5.410370660057333e-06,5.410370660057333e-06,-2.1564619248926766e-14,1.0820741473438402e-05,-1.5226176675073257e-14,1.7959622564694302e-16,-1.740726673577882e-13,1.0820741343398055e-05,3.1659261254033335e-11,2.7305655297826615e-10,3.5472145221751914e-09,-4.5236039745050755e-10,-3.1979542852707427e-17,1.079970615967422e-05,2.7305655297826615e-10,3.5472145221751914e-09,-5.383876761367382e-06,2.1035138552224646e-08,-5.393579937045905e-06,-3.073831422260868e-08,-3.073831421541344e-08,-3.5821810021234124e-14,6.595314833445223e-07,5.854721489120183e-17,-7.842033790146911e-10,6.591439261435348e-07,5.235603876603689e-10,2.8387329473609766e-10,3.64291128978819e-10,5.650935706133773e-18,3.582181342025804e-14
