Distance (mm),T (C),P (atm),He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),X(1),HX(9),OX(10),HOX(13),H2OX(14),N2X2(25),N2X(26),NOX(27),H2NX(28),H3NX(29),HNX(49),NX(59),NOX2(76),gas_heat,surface_heat,alpha
0.0,380.0,1.0000000000000002,0.10799999999999998,0.0,0.0,0.8799999999999998,0.0009999999999999998,0.0,0.0,0.011,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-334535559712.5202,1.0000000000029892
0.008181818181818182,380.0,1.0000000000000002,0.10799999999933417,0.0,0.0,0.8799999999637487,0.0010000000369850951,2.0048382693831286e-17,2.4660800133614292e-11,0.010999999975271346,0.0,2.3250971332036793e-06,8.878464189633826e-17,0.9999524361391975,4.182576185638605e-11,1.770708961201378e-12,1.4608310200580274e-22,1.2253666339744273e-19,4.5209878787563674e-05,2.8800801693911486e-08,3.6508817298252145e-13,1.7067286682484574e-14,6.978787585865263e-12,3.310816932380252e-11,1,-1.1543617217865971,7.478290008856507
0.016363636363636365,380.0,1.0,0.1079999999986683,0.0,0.0,0.8799999999274973,0.00100000007397019,4.009753334773718e-17,4.932160008488732e-11,0.010999999950542686,0.0,2.3250971250786843e-06,8.878464287744629e-17,0.9999524352732244,4.182576244850423e-11,1.7707090204999437e-12,1.460887029044719e-22,1.2254459830025083e-19,4.521074476931262e-05,2.8800801596104096e-08,3.65088170885946e-13,1.7067286584332528e-14,6.9789212438615935e-12,3.310880338427444e-11,1,-1.1543617190075242,7.478290125489314
0.024545454545454547,380.0,1.0000000000000004,0.10799999999800243,0.0,0.0,0.8799999998912458,0.0010000001109552843,6.014745203909313e-17,7.398239988376702e-11,0.010999999925814026,0.0,2.325097117302136e-06,8.878464387876401e-17,0.9999524344072263,4.182576304379997e-11,1.7707090800674592e-12,1.4609430410660937e-22,1.225525335815674e-19,4.521161077463602e-05,2.8800801500569334e-08,3.6508816884415966e-13,1.7067286488787478e-14,6.979054906542511e-12,3.310943746696676e-11,1,-1.1543616966180945,7.478291065134473
0.03272727272727273,380.0,1.0,0.1079999999973366,0.0,0.0,0.8799999998549944,0.001000000147940379,8.019813877130264e-17,9.864319952485665e-11,0.01099999990108537,0.0,2.3250971111042344e-06,8.878464497119794e-17,0.9999524335411211,4.182576365327415e-11,1.7707091408327641e-12,1.460999063054173e-22,1.225604698227484e-19,4.521247688683129e-05,2.8800801415318376e-08,3.650881670502725e-13,1.7067286405043888e-14,6.979188590459141e-12,3.3110071650401684e-11,1,-1.1543617006596907,7.478290895515739
0.040909090909090916,380.0,1.0000000000000004,0.10799999999667072,0.0,0.0,0.8799999998187428,0.0010000001849254727,1.0024959356629171e-16,1.2330399901161022e-10,0.010999999876356708,0.0,2.3250971038639475e-06,8.87846460034398e-17,0.9999524326750872,4.182576425337284e-11,1.7707092008058845e-12,1.4610550802426907e-22,1.2256840578539946e-19,4.521334292843988e-05,2.8800801323276838e-08,3.6508816509269374e-13,1.7067286313507895e-14,6.979322260349774e-12,3.311070576729576e-11,1,-1.154361692856378,7.478291223007155
0.049090909090909095,380.0,1.0000000000000002,0.1079999999960049,0.0,0.0,0.8799999997824915,0.0010000002219105672,1.2030181644002907e-16,1.4796479834463505e-10,0.010999999851628053,0.0,2.325097097370165e-06,8.878464707880654e-17,0.9999524318090013,4.182576486019586e-11,1.7707092613472976e-12,1.461111102710315e-22,1.2257634231482038e-19,4.521420902058903e-05,2.8800801236096065e-08,3.6508816325227675e-13,1.7067286227549096e-14,6.9794559402826246e-12,3.3111339931828447e-11,1,-1.1543616854096943,7.478291535531508
0.05727272727272728,380.0,1.0000000000000004,0.10799999999533906,0.0,0.0,0.8799999997462401,0.0010000002588956608,1.4035480740154153e-16,1.7262559752122205e-10,0.010999999826899394,0.0,2.3250970898246284e-06,8.878464809341699e-17,0.9999524309429886,4.182576545754583e-11,1.7707093210881375e-12,1.4611671203247332e-22,1.2258427856116794e-19,4.521507504150319e-05,2.8800801142067113e-08,3.6508816124680174e-13,1.7067286133733184e-14,6.979589606061288e-12,3.3111974029213646e-11,1,-1.154361680141459,7.4782917566301945
0.06545454545454546,380.0,1.0000000000000004,0.10799999999467322,0.0,0.0,0.8799999997099888,0.0010000002958807542,1.6040856646993143e-16,1.972863965434756e-10,0.010999999802170738,0.0,2.3250970825367434e-06,8.878464912291623e-17,0.9999524300769573,4.1825766057219583e-11,1.7707093810254068e-12,1.4612231404644795e-22,1.2259221514334522e-19,4.5215941079865084e-05,2.8800801049713406e-08,3.650881592816904e-13,1.7067286041838904e-14,6.979723275306074e-12,3.3112608143040513e-11,1,-1.1543616715139078,7.478292118713559
0.07363636363636364,380.0,1.0000000000000002,0.10799999999400738,0.0,0.0,0.8799999996737373,0.001000000332865847,1.8046309365967714e-16,2.2194719541129093e-10,0.01099999977744208,0.0,2.3250970752948213e-06,8.878465015505775e-17,0.9999524292109229,4.182576665730084e-11,1.7707094409970138e-12,1.4612791619350108e-22,1.2260015196111066e-19,4.521680712131658e-05,2.8800800957661644e-08,3.6508815732386725e-13,1.7067285950291242e-14,6.979856945164947e-12,3.311324225977972e-11,1,-1.1543616633711762,7.478292460449925
