Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13)
9.028523565434078e-16,0.05595639656,0.054,0.0,0.0,0.029736827129896042,0.8799999999427848,4.05902593019848e-34,0.0,0.0,0.06599999997157922,0.0,1.1443042424001186e-10,1.868763441291677e-11,1.868763441345358e-11,9.733141521321455e-12,2.7437204905747656e-22,1.1935283283470434e-23
1.8057169589717224e-15,0.05595639656,0.054,0.0,0.0,0.029736826968355022,0.8799999998855688,1.2987526592373374e-32,0.0,0.0,0.06599999994315807,0.0,2.288623988953615e-10,3.737552200833551e-11,3.737552201165403e-11,1.946641210735622e-11,1.707000701702721e-21,9.54713797429749e-23
3.611446163828352e-15,0.05595639656,0.054,0.0,0.0,0.029736826645273,0.8799999997711367,4.154995160942206e-31,0.0,0.0,0.06599999988631576,0.0,4.5772634320271777e-10,7.475129630670415e-11,7.475129632934867e-11,3.89329444292547e-11,1.1704072848194665e-20,7.635787944639816e-22
7.222904573541612e-15,0.05595639656,0.054,0.0,0.0,0.02973682599910901,0.8799999995422728,1.328927107442933e-29,0.0,0.0,0.06599999977263118,0.0,9.154542118020561e-10,1.4950284113851597e-10,1.4950284130405966e-10,7.78659736980096e-11,8.582478848934003e-20,6.105484303593639e-21
1.444582139296813e-14,0.05595639656,0.054,0.0,0.0,0.029736824706781288,0.879999999084545,4.248239157482886e-28,0.0,0.0,0.06599999954526219,0.0,1.8309098689232942e-09,2.9900591418203737e-10,2.990059154439775e-10,1.5573189094049115e-10,6.5536694707381755e-19,4.87933234220552e-20
2.889165503182117e-14,0.05595639656,0.054,0.0,0.0,0.029736822122126874,0.8799999981690894,1.3566691643763991e-26,0.0,0.0,0.06599999909052486,0.0,3.6618208627287805e-09,5.980119813054737e-10,5.980119911519517e-10,3.1146316188644757e-10,5.1180086744130074e-18,3.895390332715395e-19
5.778332230952724e-14,0.05595639656,0.054,0.0,0.0,0.029736816952822324,0.8799999963381792,4.323725069482451e-25,0.0,0.0,0.0659999981810528,0.0,7.3236415675820645e-09,1.1960236998325113e-09,1.1960237776177182e-09,6.229234627510737e-10,4.044433575646895e-17,3.103463748805524e-18
8.667498958723331e-14,0.05595639656,0.054,0.0,0.0,0.029736811783522245,0.8799999945072695,2.0654129197211146e-24,0.0,0.0,0.06599999727158348,0.0,1.0985460988309938e-08,1.7940348694859528e-09,1.794035099585756e-09,9.343815400879472e-10,1.196474344633853e-16,9.192574392847315e-18
1.1556665686493939e-13,0.05595639656,0.054,0.0,0.0,0.029736806614226844,0.8799999926763603,6.825146954901877e-24,0.0,0.0,0.065999996362117,0.0,1.4647279123597327e-08,2.392045357112555e-09,2.3920458575232686e-09,1.24583741139639e-09,2.6020296081903664e-16,1.9989238070459008e-17
1.7334999142035153e-13,0.05595639656,0.054,0.0,0.0,0.029736796275647775,0.8799999890145437,3.968730495430773e-23,0.0,0.0,0.065999994543191,0.0,2.1970912372197636e-08,3.588064209950415e-09,3.58806565967092e-09,1.8687440451545178e-09,7.537799731798552e-16,5.783086931857821e-17
2.311333259757637e-13,0.05595639656,0.054,0.0,0.0,0.029736785937087847,0.8799999853527294,1.3178516198216012e-22,0.0,0.0,0.06599999272427638,0.0,2.9294540880666932e-08,4.784079231751169e-09,4.784082398848918e-09,2.4916427404009217e-09,1.6466058591248141e-15,1.2609850429727279e-16
2.8891666053117583e-13,0.05595639656,0.054,0.0,0.0,0.029736775598549793,0.8799999816909176,3.5455304550450133e-22,0.0,0.0,0.06599999090537462,0.0,3.661816430154975e-08,5.98008923583889e-09,5.980095174022695e-09,3.1145330500857726e-09,3.087028595727004e-15,2.358458573920986e-16
3.46699995086588e-13,0.05595639656,0.054,0.0,0.0,0.029736765260035554,0.8799999780291085,8.283355380379602e-22,0.0,0.0,0.06599998908648674,0.0,4.3941782532085094e-08,7.176093078461163e-09,7.176103126766788e-09,3.737414959698674e-09,5.223137479076551e-15,3.9792717097447076e-16
4.0448332964200013e-13,0.05595639656,0.054,0.0,0.0,0.02973675492154671,0.8799999743673018,1.730465293407928e-21,0.0,0.0,0.0659999872676135,0.0,5.126539555808789e-08,8.372089716389958e-09,8.372105477652678e-09,4.3602885983646184e-09,8.191752270780765e-15,6.221913101124147e-16
5.200499987528245e-13,0.05595639656,0.054,0.0,0.0,0.02973673424465155,0.8799999670436962,5.977129481875728e-21,0.0,0.0,0.06599998362991408,0.0,6.591260600061385e-08,1.0764056999882768e-08,1.0764090106330716e-08,5.606011718303951e-09,1.7202104438461672e-14,1.2976912237620721e-15
6.356166678636488e-13,0.05595639656,0.054,0.0,0.0,0.029736713567876962,0.8799999597201008,1.6010772191879166e-20,0.0,0.0,0.06599997999228266,0.0,8.055979557451333e-08,1.3155982514101699e-08,1.3156042660914033e-08,6.851703578056019e-09,3.124364334537111e-14,2.3403623821047065e-15
8.667500060852974e-13,0.05595639656,0.054,0.0,0.0,0.029736672214740117,0.8799999450729411,7.59285129790523e-20,0.0,0.0,0.06599997271724896,0.0,1.0985411184556221e-07,1.7939674075444195e-08,1.793982606076503e-08,9.342998048418867e-09,7.890394133619783e-14,5.822276460921368e-15
1e-12,0.05595639656,0.054,0.0,0.0,0.029736648374647703,0.879999936628769,1.6200783235904987e-19,0.0,0.0,0.06599996852329555,0.0,1.2674245278924802e-07,2.0697387826436422e-08,2.0697621087320017e-08,1.0779195559053155e-08,1.210551598142707e-13,8.848946791500183e-15
1.3290166825285945e-12,0.05595639656,0.054,0.0,0.0,0.029736589510469372,0.8799999157787441,6.599446655061879e-19,0.0,0.0,0.06599995816827398,0.0,1.6844249096207635e-07,2.7506180857906074e-08,2.750672821835206e-08,1.4325261332010417e-08,2.8383037920690557e-13,2.0298767815947846e-14
1.7912833589718917e-12,0.05595639656,0.054,0.0,0.0,0.029736506809542665,0.8799998864847113,2.7800755616418684e-18,0.0,0.0,0.06599994362109045,0.0,2.270305287913885e-07,3.707106481363915e-08,3.7072405620710094e-08,1.930715020236569e-08,6.945292080336701e-13,4.82455664042125e-14
2.253550035415189e-12,0.05595639656,0.054,0.0,0.0,0.029736424112767133,0.8799998571908423,8.319454306821359e-18,0.0,0.0,0.06599992907610007,0.0,2.8561822162762663e-07,4.663378122839955e-08,4.6636452794607696e-08,2.428873621204756e-08,1.3824825860532537e-12,9.338222014929891e-14
2.715816711858486e-12,0.05595639656,0.054,0.0,0.0,0.029736341420948824,0.8799998278971372,2.026935557745429e-17,0.0,0.0,0.0659999145337042,0.0,3.4420556620659795e-07,5.619378586687931e-08,5.619846505746376e-08,2.927009081909169e-08,2.4191037494105254e-12,1.589764411463058e-13
3.1780833883017832e-12,0.05595639656,0.054,0.0,0.0,0.029736258734892593,0.8799997986035959,4.293352361590565e-17,0.0,0.0,0.0659998999943038,0.0,4.0279255966958414e-07,6.57505350415526e-08,6.575803851319498e-08,3.425128540191658e-08,3.875726701565164e-12,2.4789613471828104e-13
4.102616741188378e-12,0.05595639656,0.054,0.0,0.0,0.029736093383279396,0.8799997400170053,1.4509523874635559e-16,0.0,0.0,0.06599987092609097,0.0,5.199654833655595e-07,8.485209571183346e-08,8.486825739123483e-08,4.42134795015052e-08,8.333812722752009e-12,5.056562894259446e-13
5.027150094074972e-12,0.05595639656,0.054,0.0,0.0,0.029735928064338533,0.8799996814310698,3.811474148358722e-16,0.0,0.0,0.06599984187465853,0.0,6.371369761903065e-07,1.0393412899625424e-07,1.0396389528566905e-07,5.4175887266379674e-08,1.5325204215641563e-11,8.833571529411324e-13
5.951683446961566e-12,0.05595639656,0.054,0.0,0.0,0.02973576278445462,0.8799996228457898,8.464844964660681e-16,0.0,0.0,0.0659998128431923,0.0,7.543070255119197e-07,1.229923165930712e-07,1.2304175317821e-07,6.4139075036256e-08,2.5416056667056808e-11,1.3938357483731749e-12
6.876216799848161e-12,0.05595639656,0.054,0.0,0.0,0.029735597549981785,0.8799995642611647,1.6681491701942994e-15,0.0,0.0,0.06599978383486436,0.0,8.714756215960884e-07,1.4202235976363385e-07,1.420986487670159e-07,7.410360618932767e-08,3.9169692304917646e-11,2.047045658721245e-12
7.800750152734756e-12,0.05595639656,0.054,0.0,0.0,0.029735432367239262,0.8799995056771944,3.00641261833439e-15,0.0,0.0,0.0659997548528304,0.0,9.886427569606877e-07,1.6101998286835587e-07,1.6113141833249402e-07,8.407004063059231e-08,5.7146087251619587e-11,2.85069849119064e-12
8.725283505621351e-12,0.05595639656,0.054,0.0,0.0,0.029735267242507003,0.8799994470938789,5.05578295728225e-15,0.0,0.0,0.06599972590022753,0.0,1.1058084259462826e-06,1.7998093679364905e-07,1.8013691873563614e-07,9.403893430123839e-08,7.990137460969122e-11,3.810696778582037e-12
9.649816858507946e-12,0.05595639656,0.054,0.0,0.0,0.029735102182021553,0.8799993885112178,8.045578282920991e-15,0.0,0.0,0.06599969698017183,0.0,1.2229726243963443e-06,1.9890100202450307e-07,1.9911202927715547e-07,1.0401083873621049e-07,1.0798739916644824e-10,4.9314556942768565e-12
1e-11,0.05595639656,0.054,0.0,0.0,0.029735039680540972,0.8799993663221835,9.477185535175987e-15,0.0,0.0,0.06599968603533576,0.0,1.267350224564443e-06,2.0605576235522154e-07,2.0629060641699546e-07,1.0778877105557983e-07,1.2013083238905423e-10,5.39864980379685e-12
1.0574350211394542e-11,0.05595639656,0.054,0.0,0.0,0.029734937191970973,0.8799993299292109,1.2240207182352791e-14,0.0,0.0,0.0659996680957558,0.0,1.3401353492919476e-06,2.1777599255410497e-07,2.1805365410890397e-07,1.1398630049865918e-07,1.4195115105322097e-10,6.2162680626100944e-12
1.1498883564281137e-11,0.05595639656,0.054,0.0,0.0,0.029734772278490414,0.8799992713478579,1.793931780544943e-14,0.0,0.0,0.06599963925004591,0.0,1.4572965985109597e-06,2.366017590856818e-07,2.3695872426916113e-07,1.2396586071619053e-07,1.8233430236913973e-10,7.667543767046152e-12
1.2423416917167732e-11,0.05595639656,0.054,0.0,0.0,0.029734607447658035,0.8799992127671582,2.5477589772979577e-14,0.0,0.0,0.06599961044608052,0.0,1.5744563706606133e-06,2.5537419208550877e-07,2.558241996869967e-07,1.3395005463958255e-07,2.29672765737952e-10,9.286975930734634e-12
1.3347950270054327e-11,0.05595639656,0.054,0.0,0.0,0.029734442705490763,0.879999154187112,3.522449385920718e-14,0.0,0.0,0.06599958168686773,0.0,1.691614664946955e-06,2.740892247998523e-07,2.7464707119769633e-07,1.4393941120821262e-07,2.8449625850132785e-10,1.1075671282753595e-11
1.5197016975827514e-11,0.05595639656,0.054,0.0,0.0,0.029734113510887096,0.8799990370289773,6.299358255349475e-14,0.0,0.0,0.06599952431456753,0.0,1.9259268190667924e-06,3.1133105521946606e-07,3.1215313318292014e-07,1.639356937567629e-07,4.1868348966690577e-10,1.5163029867990214e-11
1.7046083681600705e-11,0.05595639656,0.054,0.0,0.0,0.029733784741428366,0.8799989198734508,1.0488271961343177e-13,0.0,0.0,0.06599946715652116,0.0,2.1602330624618273e-06,3.4829568909281744e-07,3.4945353440397146e-07,1.8395879680832633e-07,5.889929297323771e-10,1.9930784061044042e-11
1.8895150387373895e-11,0.05595639656,0.054,0.0,0.0,0.029733456442616348,0.8799988027205289,1.6505486025122243e-13,0.0,0.0,0.0659994102354833,0.0,2.3945334007413746e-06,3.8495244172760684e-07,3.865255247752858e-07,2.040126802540818e-07,7.99394719349766e-10,2.5376282492702506e-11
2.0744217093147085e-11,0.05595639656,0.054,0.0,0.0,0.029733128658583026,0.8799986855702074,2.4817949675346415e-13,0.0,0.0,0.06599935357352546,0.0,2.6288278423829213e-06,4.212715917221578e-07,4.233470406997735e-07,2.241011630442211e-07,1.0537197704536639e-09,3.149420548939792e-11
2.2593283798920276e-11,0.05595639656,0.054,0.0,0.0,0.029732801431977034,0.8799985684224825,3.594103234492679e-13,0.0,0.0,0.06599929719197899,0.0,2.863116398077484e-06,4.5722446080602744e-07,4.598967615022783e-07,2.4422791184476073e-07,1.3556483670318327e-09,3.827721837122053e-11
2.4442350504693466e-11,0.05595639656,0.054,0.0,0.0,0.029732474803858756,0.8799984512773493,5.043616017113326e-13,0.0,0.0,0.06599924111138224,0.0,3.0973990802016623e-06,4.927834874139709e-07,4.961541616162978e-07,2.643964306466113e-07,1.708699711800239e-09,4.571649929329492e-11
2.6291417210466657e-11,0.05595639656,0.054,0.0,0.0,0.029732148813604278,0.8799983341348031,6.890834736436114e-13,0.0,0.0,0.06599918535143237,0.0,3.33167590240309e-06,5.279222938245418e-07,5.320995583930181e-07,2.846100513502384e-07,2.116222443836348e-09,5.3802153480232565e-11
2.8140483916239847e-11,0.05595639656,0.054,0.0,0.0,0.029731823498819154,0.8799982169948384,9.200358523849043e-13,0.0,0.0,0.0659991299309422,0.0,3.565946879370196e-06,5.626157461318421e-07,5.677141550868797e-07,3.048719254315061e-07,2.5813862339426194e-09,6.252344237444836e-11
2.998955062201304e-11,0.05595639656,0.054,0.0,0.0,0.029731498895262744,0.8799980998574499,1.2040609703012912e-12,0.0,0.0,0.06599907486780213,0.0,3.8002120267331784e-06,5.968400065796983e-07,6.029800786293562e-07,3.2518501675666087e-07,3.107174525757934e-09,7.186888115039472e-11
