Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59)
0.0,0.05595639656,0.054,0.0,0.0,0.029736827291434877,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.623590298640843e-20,0.05595639656,0.054,0.0,0.0,0.02973682729143197,0.8799999999999989,-1.8119429738548658e-56,0.0,0.0,0.06599999999999949,0.0,2.0577908079062883e-15,3.3605784985376434e-16,3.3605784985376444e-16,1.7503013013148843e-16,5.918053437114721e-32,1.2147933010895158e-37,1.7092437107011017e-61,3.5994113332753136e-48
4.5460528361943606e-20,0.05595639656,0.054,0.0,0.0,0.029736827291426744,0.8799999999999971,1.790315613720848e-55,0.0,0.0,0.06599999999999857,0.0,5.7618142621363e-15,9.409619795903195e-16,9.409619795903201e-16,4.900843643658479e-16,3.5746449525481176e-31,1.835795614979753e-36,1.9775723415228784e-60,4.2733969429219747e-47
1.0390977911301396e-19,0.05595639656,0.054,0.0,0.0,0.029736827291416287,0.8799999999999935,9.874393291303362e-54,0.0,0.0,0.06599999999999673,0.0,1.3169861170591078e-14,2.1507702390625453e-15,2.150770239062549e-15,1.1201928328252874e-15,1.7211769349841094e-30,1.9748651329424155e-35,5.39490371036069e-59,4.196007629434165e-46
2.2080828061515467e-19,0.05595639656,0.054,0.0,0.0,0.029736827291395374,0.879999999999986,3.88621968134871e-52,0.0,0.0,0.06599999999999305,0.0,2.7985954987479672e-14,4.570386758003463e-15,4.570386758003477e-15,2.380409769707049e-15,7.518048061481667e-30,1.8152412658899194e-34,1.5649202907779977e-57,3.711959298895079e-45
4.54605283619436e-19,0.05595639656,0.054,0.0,0.0,0.029736827291353542,0.8799999999999712,1.3730890166441505e-50,0.0,0.0,0.0659999999999857,0.0,5.7618142621173e-14,9.409619795871151e-15,9.409619795871214e-15,4.900843643322103e-15,3.1396520704161265e-29,1.5529770681367833e-33,4.704734566760976e-56,3.121197198687126e-44
9.221992896279988e-19,0.05595639656,0.054,0.0,0.0,0.02973682729126988,0.8799999999999416,4.613004718317374e-49,0.0,0.0,0.06599999999997097,0.0,1.1688251788822418e-13,1.9088085871549954e-14,1.9088085871550212e-14,9.941711389958329e-15,1.2834795076048674e-28,1.284031385205055e-32,1.4532475725767354e-54,2.560703131052317e-43
1.8573873016451245e-18,0.05595639656,0.054,0.0,0.0,0.029736827291102556,0.8799999999998823,1.5122067389443607e-47,0.0,0.0,0.06599999999994154,0.0,2.3541126842098465e-13,3.8445018022681257e-14,3.84450180226823e-14,2.0023446880855268e-14,5.194732556548174e-28,1.044152857336781e-31,4.563772125292723e-53,2.076570112366839e-42
3.727763325679376e-18,0.05595639656,0.054,0.0,0.0,0.029736827290767907,0.8799999999997637,4.897532931421881e-46,0.0,0.0,0.06599999999988265,0.0,4.724687694811381e-13,7.715888232403861e-14,7.71588823240428e-14,4.018691785314706e-14,2.094169690152519e-27,8.42146879906803e-31,1.4463121051987802e-51,1.6759882269166924e-41
7.468515373747879e-18,0.05595639656,0.054,0.0,0.0,0.02973682729009861,0.8799999999995267,1.5766297473023264e-44,0.0,0.0,0.0659999999997649,0.0,9.46583771579975e-13,1.5458661092313202e-13,1.5458661092314895e-13,8.051385975972236e-14,8.441794222639542e-27,6.764578078659366e-30,4.605465835304349e-50,1.3522383053946264e-40
1.4950019469884884e-17,0.05595639656,0.054,0.0,0.0,0.029736827288760013,0.8799999999990527,5.060333597729441e-43,0.0,0.0,0.0659999999995294,0.0,1.89481377569177e-12,3.0944206810683236e-13,3.094420681069006e-13,1.6116774342084015e-13,3.415755685877394e-26,5.422640781246838e-29,1.4701015459432568e-48,1.0952567928392068e-39
