Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27)
0.0,0.05595639656,0.054,0.0,0.0,0.029736827291434877,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.711414443552682e-20,0.05595639656,0.054,0.0,0.0,0.029736827291431817,0.8799999999999989,-2.357969878901785e-56,0.0,1.314613905824805e-96,0.06599999999999946,0.0,2.1691019670472756e-15,3.542360770389223e-16,3.542360770389224e-16,1.844979567903493e-16,6.575624250068084e-32,1.4227828588366293e-37,2.0752169000270312e-61,4.21568743926378e-48,2.781133472325886e-68,1.2778264953539874e-76
4.7919604419475097e-20,0.05595639656,0.054,0.0,0.0,0.0297368272914263,0.8799999999999969,2.3298251298679116e-55,0.0,2.628686099240394e-94,0.06599999999999849,0.0,6.0734855077309166e-15,9.918610157087368e-16,9.918610157087376e-16,5.165942790104003e-16,3.97184180936136e-31,2.150109429452055e-36,2.4759905605141194e-60,5.005081175182118e-47,1.6923608618225225e-66,1.4124156512879226e-74
1.0953052438737165e-19,0.05595639656,0.054,0.0,0.0,0.029736827291415278,0.879999999999993,1.2850030158462874e-53,0.0,4.7594220837884956e-92,0.06599999999999655,0.0,1.3882252589092374e-14,2.267110893047383e-15,2.267110893047387e-15,1.180786923440192e-15,1.912433967905693e-30,2.3129895874768487e-35,6.850896347347852e-59,4.914464266991092e-46,7.640837459128978e-65,1.2779682914639573e-72
2.3275236432316475e-19,0.05595639656,0.054,0.0,0.0,0.02973682729139323,0.8799999999999852,5.057327431675147e-52,0.0,7.213078883700388e-90,0.06599999999999266,0.0,2.9499786751792e-14,4.817610647720748e-15,4.817610647720764e-15,2.5091722122585337e-15,8.353526001132685e-30,2.1260358861457786e-34,2.0069830030236388e-57,4.347575731311184e-45,2.885549458583087e-63,9.673569168281652e-71
4.79196044194751e-19,0.05595639656,0.054,0.0,0.0,0.029736827291349136,0.8799999999999696,1.7868677807641513e-50,0.0,1.0031721585033141e-87,0.0659999999999849,0.0,6.073485507709804e-14,9.918610157051763e-15,9.918610157051834e-15,5.16594278973025e-15,3.488621445588444e-29,1.8188683968657735e-33,6.073244946473042e-56,3.655722513899793e-44,1.0014876996755847e-61,6.722838369477263e-69
9.720834039379235e-19,0.05595639656,0.054,0.0,0.0,0.02973682729126095,0.8799999999999384,6.0031282562471606e-49,0.0,1.3385743872982036e-85,0.06599999999996939,0.0,1.2320499172733741e-13,2.0120609175650932e-14,2.012060917565122e-14,1.0479483944013817e-14,1.4261868532774813e-28,1.5038754573744856e-32,1.8831384825724818e-54,2.999351462942981e-43,3.3377465769208475e-60,4.483907919166493e-67
1.957858123424268e-18,0.05595639656,0.054,0.0,0.0,0.029736827291084574,0.8799999999998759,1.967908444313143e-47,0.0,1.7510138710946435e-83,0.06599999999993836,0.0,2.481452650263252e-13,4.052460721259782e-14,4.052460721259897e-14,2.1106566249941488e-14,5.772726141942544e-28,1.222926372799983e-31,5.926059854199675e-53,2.432466646730284e-42,1.0910463990844449e-58,2.9322974418866546e-65
3.929407562396958e-18,0.05595639656,0.054,0.0,0.0,0.029736827290731824,0.879999999999751,6.3733985742801166e-46,0.0,2.2704880779207837e-81,0.0659999999998763,0.0,4.980258116183371e-13,8.133260328548576e-14,8.133260328549041e-14,4.236073085123896e-14,2.327501310604845e-27,9.86334143497135e-31,1.8800663625023045e-51,1.963520243042889e-41,3.5360987286546235e-57,1.9009825359859453e-63
7.872506440342338e-18,0.05595639656,0.054,0.0,0.0,0.029736827290026323,0.8799999999995011,2.0517451615912328e-44,0.0,2.9373508759497357e-79,0.06599999999975217,0.0,9.977869047785048e-13,1.6294859542723796e-13,1.6294859542725672e-13,8.486906001160252e-14,9.384961179624196e-27,7.922767738417878e-30,5.98996596027324e-50,1.584692725956173e-40,1.1436103932834625e-55,1.2296372367820001e-61
1.5758704196233095e-17,0.05595639656,0.054,0.0,0.0,0.02973682728861532,0.8799999999990014,6.585258459138271e-43,0.0,3.811453915113618e-77,0.06599999999950393,0.0,1.9973090910034193e-12,3.26180579694646e-13,3.2618057969472194e-13,1.6988571816340422e-13,3.7994443794296955e-26,6.351071779821521e-29,1.9125786726125424e-48,1.2842787980132358e-39,3.7100845088712047e-54,7.977961831152432e-60
3.1531099708014615e-17,0.05595639656,0.054,0.0,0.0,0.029736827285793313,0.8799999999980018,2.110432389540428e-41,0.0,4.993216967273926e-75,0.06599999999900744,0.0,3.9963534630715604e-12,6.526445481650597e-13,6.526445481653698e-13,3.399190337913084e-13,1.5532408430392509e-25,5.085996830945815e-28,6.113543030907559e-47,1.0516649113938489e-38,1.2153769704864142e-52,5.226173665508044e-58
6.307589073157765e-17,0.05595639656,0.054,0.0,0.0,0.029736827280149303,0.8799999999960028,6.75840480267439e-40,0.0,6.675077357596552e-73,0.06599999999801444,0.0,7.994442205681093e-12,1.3055724848481487e-12,1.3055724848494398e-12,6.799856623443366e-13,6.474854566185232e-25,4.070840374096134e-27,1.955286313296375e-45,8.794892071065326e-38,4.06377455440111e-51,3.4937884547891546e-56
1.2616547277870373e-16,0.05595639656,0.054,0.0,0.0,0.02973682726886128,0.8799999999920046,2.1634787698497703e-38,0.0,9.273733058028095e-71,0.06599999999602844,0.0,1.5990619684793154e-11,2.6114283571823315e-12,2.611428357187896e-12,1.3601189086394098e-12,2.798291687570326e-24,3.2574674880446546e-26,6.255414943187702e-44,7.65191582936893e-37,1.4126753664904773e-49,2.4276636584203866e-54
2.523446368729559e-16,0.05595639656,0.054,0.0,0.0,0.029736827246285236,0.8799999999840085,6.924302331843572e-37,0.0,1.3787891083253599e-68,0.06599999999205647,0.0,3.198297461858916e-11,5.223140097714401e-12,5.223140097739855e-12,2.7203853579867152e-12,1.2857639059846457e-23,2.606256625123534e-25,2.0016079299364596e-42,7.134950631202238e-36,5.2583630269065624e-48,1.8055442073667687e-52
5.047029650614601e-16,0.05595639656,0.054,0.0,0.0,0.029736827201133145,0.8799999999680161,2.2159046350640322e-35,0.0,2.2832708679373114e-66,0.06599999998411252,0.0,6.396768438846805e-11,1.04465635621668e-11,1.04465635622942e-11,5.440918083718713e-12,6.474168110150126e-23,2.085061595742853e-24,6.405723393197415e-41,7.422540791433724e-35,2.1815244727594314e-46,1.4960225772657282e-50
1.0094196214384687e-15,0.05595639656,0.054,0.0,0.0,0.029736827110828968,0.8799999999360314,7.090719510623044e-34,0.0,4.3919887677845585e-64,0.0659999999682246,0.0,1.279371035373678e-10,2.0893410424092242e-11,2.089341042480645e-11,1.0881982843402246e-11,3.6544641456848515e-22,1.6679809815129714e-23,2.0504718649403957e-39,8.980960293117283e-34,1.0517597659999381e-44,1.4400540067575887e-48
2.018852934192486e-15,0.05595639656,0.054,0.0,0.0,0.029736826930220617,0.879999999872062,2.2687590769348245e-32,0.0,1.0111461176621196e-61,0.06599999993644878,0.0,2.558759402716916e-10,4.178710387576645e-11,4.1787103880260237e-11,2.1764109596207427e-11,2.3136045435194735e-21,1.3342121991208617e-22,6.566681797007436e-38,1.3012826854598684e-32,6.069421792201852e-43,1.6591079576814477e-46
4.03771955970052e-15,0.05595639656,0.054,0.0,0.0,0.029736826569003935,0.8799999997441231,7.258039989595871e-31,0.0,2.815307689545028e-59,0.06599999987289716,0.0,5.117536074860879e-10,8.357448965633432e-11,8.357448968740507e-11,4.352835204004971e-11,1.606893168293085e-20,1.0670684091910634e-21,2.1056388512178283e-36,2.2805415775114276e-31,4.234632323476778e-41,2.3114498625876054e-44
