Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27),N2X2(25),N2X(26),N2O2(46)
0.0,0.05595639656,0.054,0.0,0.0,0.029736827291434877,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8352875271305162e-20,0.05595639656,0.054,0.0,0.0,0.02973682729143159,0.8799999999999988,-3.3441276745133157e-56,4.303152776096519e-92,2.1440467717759853e-96,0.06599999999999943,0.0,2.326102715910338e-15,3.798758718546226e-16,3.7987587185462266e-16,1.9785201659007974e-16,7.561983004874434e-32,1.7546292741049046e-37,2.679260961242338e-61,5.198955917569431e-48,3.944209955828845e-68,1.9433856963916467e-76,1.4986960382896274e-81,2.8379667458584875e-90,2.61089379350603e-128
5.1388050759654456e-20,0.05595639656,0.054,0.0,0.0,0.029736827291425683,0.8799999999999968,3.304212161294039e-55,1.0080019942888003e-86,4.2872937212912554e-94,0.06599999999999838,0.0,6.513087604547274e-15,1.0636524411926608e-15,1.0636524411926618e-15,5.539856464492591e-16,4.567640926039888e-31,2.651595804380774e-36,3.3389324843933593e-60,6.172487510938617e-47,2.400157617299388e-66,2.1481180937923973e-74,1.9503557105071383e-76,6.647860967619655e-85,4.640706507912512e-126
1.1745840173635304e-19,0.05595639656,0.054,0.0,0.0,0.029736827291413862,0.8799999999999926,1.822421151015454e-53,3.989209983709711e-85,7.762502065949767e-92,0.0659999999999963,0.0,1.4887057381814446e-14,2.4312055798676078e-15,2.4312055798676117e-15,1.2662529061557606e-15,2.1993236389963185e-30,2.852465744108226e-35,9.415698172842112e-59,6.060774530557927e-46,1.0836540992978335e-64,1.9436527727384038e-72,3.7618053558197543e-75,2.6309187337869094e-83,1.6581509206450042e-123
2.495991036897502e-19,0.05595639656,0.054,0.0,0.0,0.029736827291390218,0.8799999999999842,7.17241932944869e-52,1.3714798555016955e-83,1.1764507013649227e-89,0.06599999999999213,0.0,3.1634996936322e-14,5.166311857212983e-15,5.166311857213002e-15,2.690787425521336e-15,9.606780796208982e-30,2.621907405938762e-34,2.79410337330592e-57,5.3617282288134144e-45,4.092454362484331e-63,1.47126501879359e-70,6.4411600465338696e-74,9.045029089528456e-82,4.935423969083687e-121
5.138805075965446e-19,0.05595639656,0.054,0.0,0.0,0.029736827291342933,0.8799999999999675,2.5341774190037706e-50,4.5356982672758597e-82,1.6362120205374821e-87,0.06599999999998382,0.0,6.513087604522995e-14,1.0636524411885662e-14,1.0636524411885742e-14,5.539856464062774e-15,4.012107920275139e-29,2.24309690118695e-33,8.52605302059612e-56,4.508605526101011e-44,1.4204047972122726e-61,1.0225108814085263e-68,1.0638339906187086e-72,2.9913324919344068e-80,1.330202876836392e-118
1.0424433154101334e-18,0.05595639656,0.054,0.0,0.0,0.029736827291248363,0.879999999999934,8.513775981270264e-49,1.4758334891717137e-80,2.1833768770615183e-85,0.06599999999996718,0.0,1.321226342626172e-13,2.157694952115873e-14,2.157694952115906e-14,1.1237994540386805e-14,1.6402746705954374e-28,1.854635754141283e-32,2.656476770368555e-54,3.699296126043978e-43,4.734152242657384e-60,6.820153161648473e-67,1.729876244438541e-71,9.733250227448496e-79,3.349285160857017e-116
2.099568931037311e-18,0.05595639656,0.054,0.0,0.0,0.029736827291059222,0.879999999999867,2.7909334537152415e-47,4.768336188713697e-79,2.8564056142627535e-83,0.0659999999999339,0.0,2.661061506956771e-13,4.3457799739415694e-14,4.345779973941702e-14,2.2634270689999482e-14,6.639934443498523e-28,1.5081587649283236e-31,8.381471475797557e-53,3.000433429232862e-42,1.5476640717063997e-58,4.4605635639511425e-65,2.793939820890934e-70,3.1447591201347487e-77,7.880317714924273e-114
4.213820162291666e-18,0.05595639656,0.054,0.0,0.0,0.029736827290680938,0.879999999999733,9.03890167597846e-46,1.537427857301387e-77,3.704566613930906e-81,0.06599999999986735,0.0,5.340731835549385e-13,8.721950017477287e-14,8.721950017477824e-14,4.542682297708328e-14,2.6776745044521975e-27,1.2163843107931941e-30,2.6626550083119914e-51,2.422495016228604e-41,5.017031110622875e-57,2.8923315343620043e-63,4.5038726284297674e-69,1.0139469758042952e-75,1.7018243571385695e-111
8.442322624800377e-18,0.05595639656,0.054,0.0,0.0,0.029736827289924373,0.879999999999465,2.9098324566298533e-44,4.965525229412527e-76,4.794558353116232e-79,0.06599999999973424,0.0,1.0700072492460275e-12,1.747429010408601e-13,1.747429010408817e-13,9.10119275026848e-14,1.0801123440457386e-26,9.770654339580282e-30,8.489178216430291e-50,1.9559247114866732e-40,1.6232191394774403e-55,1.871639607611223e-61,7.273614733589835e-68,3.2748065624702245e-74,3.3003745213929203e-109
1.6899327549817798e-17,0.05595639656,0.054,0.0,0.0,0.02973682728841124,0.8799999999989291,9.339365146305064e-43,1.6137804090523488e-74,6.2262707322769976e-77,0.06599999999946803,0.0,2.14187538051847e-12,3.497897027545232e-13,3.4978970275461064e-13,1.8218213635962372e-13,4.376109172529703e-26,7.832379289699626e-29,2.7115147782424954e-48,1.5864287481552286e-39,5.270252151655159e-54,1.215298709423484e-59,1.1821859869845087e-66,1.0643018569987429e-72,5.708505735369396e-107
