Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14)
1.4528807392649902e-17,0.05595639656,0.054,0.0,0.0,0.029736827288835373,0.8799999999990793,4.386521020249728e-43,0.0,0.0,0.06599999999954265,0.0,1.841427995964413e-12,3.007236355631201e-13,3.0072363556318445e-13,1.566268931590345e-13,3.2241495919983126e-26,4.977089914308336e-29,1.2745508091115105e-48
2.907023755453756e-17,0.05595639656,0.054,0.0,0.0,0.029736827286233614,0.8799999999981578,1.405785013483476e-41,0.0,0.0,0.0659999999990849,0.0,3.684455842057655e-12,6.017085426741099e-13,6.017085426743726e-13,3.1338986452146883e-13,1.315947850316078e-25,3.985700192214896e-28,4.0731955545311124e-47
5.815309787831287e-17,0.05595639656,0.054,0.0,0.0,0.029736827281030092,0.8799999999963147,4.501858266121374e-40,0.0,0.0,0.06599999999816941,0.0,7.370511532946403e-12,1.2036783566770288e-12,1.2036783566781193e-12,6.269158049489722e-13,5.469153995201857e-25,3.1901622330024357e-27,1.3025795720001832e-45
1.1631881852586347e-16,0.05595639656,0.054,0.0,0.0,0.02973682727062305,0.8799999999926287,1.4411213676829738e-38,0.0,0.0,0.06599999999633842,0.0,1.4742622909532944e-11,2.4076179838058096e-12,2.407617983810486e-12,1.253967676614625e-12,2.3509630415572393e-24,2.5527547534592277e-26,4.1670127093000065e-44
2.3265025982096466e-16,0.05595639656,0.054,0.0,0.0,0.029736827249808962,0.8799999999852566,4.612374337420165e-37,0.0,0.0,0.06599999999267643,0.0,2.948684564194214e-11,4.815497234548622e-12,4.815497234569834e-12,2.5080713831893714e-12,1.0708286118936474e-23,2.0424281859395888e-25,1.3333158933031004e-42
4.653131424111671e-16,0.05595639656,0.054,0.0,0.0,0.029736827208180792,0.8799999999705124,1.4760490917021976e-35,0.0,0.0,0.06599999998535247,0.0,5.897529102370448e-11,9.631255721923095e-12,9.63125572202799e-12,5.016278649319482e-12,5.326466052848447e-23,1.6339912942997554e-24,4.266879673886972e-41
9.30638907591572e-16,0.05595639656,0.054,0.0,0.0,0.029736827124924453,0.879999999941024,4.7232666429441056e-34,0.0,0.0,0.06599999997070453,0.0,1.1795218145500055e-10,1.926277263981023e-11,1.9262772640390158e-11,1.0032692593557027e-11,2.965028582620759e-22,1.307146919867431e-23,1.3657761821725585e-39
1.861290437952382e-15,0.05595639656,0.054,0.0,0.0,0.02973682695841178,0.879999999882047,1.5112815450819216e-32,0.0,0.0,0.06599999994140868,0.0,2.3590596098864416e-10,3.852580624479942e-11,3.852580624840196e-11,2.0065518130380223e-11,1.8535493242447386e-21,1.045594129505926e-22,4.3735688048799063e-38
3.722593498674001e-15,0.05595639656,0.054,0.0,0.0,0.029736826625386455,0.8799999997640933,4.834883741817255e-31,0.0,0.0,0.06599999988281698,0.0,4.718135147398629e-10,7.705187250493517e-11,7.705187252960782e-11,4.0131159800929414e-11,1.2754468534175923e-20,8.362580801661117e-22,1.4020901443722122e-36
7.44519962011724e-15,0.05595639656,0.054,0.0,0.0,0.029736825959335862,0.8799999995281858,1.5463572921920366e-29,0.0,0.0,0.06599999976563359,0.0,9.43628600975834e-10,1.5410400101221711e-10,1.541040011930101e-10,8.026240555772282e-11,9.373997659151831e-20,6.686512393612276e-21,4.509836389541602e-35
1.4890411863003716e-14,0.05595639656,0.054,0.0,0.0,0.029736824627234953,0.8799999990563707,4.943152509835535e-28,0.0,0.0,0.065999999531267,0.0,1.887258688364457e-09,3.0820824026587253e-10,3.0820824164591006e-10,1.605247469587581e-10,7.167365261771714e-19,5.343503381390269e-20,1.4839316668572833e-33
2.9780836348776675e-14,0.05595639656,0.054,0.0,0.0,0.029736821963034232,0.8799999981127409,1.578489937213574e-26,0.0,0.0,0.06599999906253452,0.0,3.774518522669103e-09,6.164166340579531e-10,6.164166448336986e-10,3.210488311079619e-10,5.601157419073346e-18,4.2656877252282587e-19,5.17473793363126e-32
5.956168532032258e-14,0.05595639656,0.054,0.0,0.0,0.029736816634637342,0.8799999962254816,5.030045045197719e-25,0.0,0.0,0.06599999812507236,0.0,7.549036828282682e-09,1.2328329734086158e-09,1.2328330585671449e-09,6.420946191734895e-10,4.427829041862468e-17,3.3980506803685816e-18,2.1687927449973423e-30
8.93425342918685e-14,0.05595639656,0.054,0.0,0.0,0.02973681130624523,0.8799999943382232,2.4027055972594103e-24,0.0,0.0,0.0659999971876131,0.0,1.132355376940262e-08,1.8492487186957842e-09,1.8492489706348044e-09,9.63138046171594e-10,1.3100312707370784e-16,1.0064455683080934e-17,1.0708730477918266e-29
1.1912338326341442e-13,0.05595639656,0.054,0.0,0.0,0.02973680597785809,0.8799999924509654,7.939350702744528e-24,0.0,0.0,0.06599999625015684,0.0,1.5098069344590406e-08,2.4656637240901235e-09,2.4656642720296706e-09,1.284179131267527e-09,2.849149969394249e-16,2.1883777820759535e-17,4.4041394989066213e-29
1.7868508120650623e-13,0.05595639656,0.054,0.0,0.0,0.029736795321096375,0.8799999886764512,4.616146244709462e-23,0.0,0.0,0.06599999437525186,0.0,2.2647097283602425e-08,3.698491426986373e-09,3.69849301450514e-09,1.92625588023961e-09,8.254169688488134e-16,6.330558255776216e-17,4.582153990157653e-28
2.3824677914959807e-13,0.05595639656,0.054,0.0,0.0,0.029736784664355146,0.8799999849019398,1.5327399162020767e-22,0.0,0.0,0.06599999250035903,0.0,3.0196120185254926e-08,4.931314960105142e-09,4.931318428371232e-09,2.5683242075931075e-09,1.803153523566443e-15,1.3802361474235407e-16,2.0254876242614987e-27
